,,,,【時間帯(60)】,【時間帯(60)】,【時間帯(60)】,8:00,8:00,8:00,9:00,9:00,9:00,10:00,10:00,10:00,11:00,11:00,11:00,12:00,12:00,12:00,13:00,13:00,13:00,14:00,14:00,14:00,15:00,15:00,15:00,16:00,16:00,16:00,17:00,17:00,17:00,18:00,18:00,18:00,19:00,19:00,19:00,20:00,20:00,20:00,21:00,21:00,21:00,22:00,22:00,22:00,23:00,23:00,23:00,24:00:00,24:00:00,24:00:00
,,,,売上点数,売上金額,値引数量3,売上点数,売上金額,値引数量3,売上点数,売上金額,値引数量3,売上点数,売上金額,値引数量3,売上点数,売上金額,値引数量3,売上点数,売上金額,値引数量3,売上点数,売上金額,値引数量3,売上点数,売上金額,値引数量3,売上点数,売上金額,値引数量3,売上点数,売上金額,値引数量3,売上点数,売上金額,値引数量3,売上点数,売上金額,値引数量3,売上点数,売上金額,値引数量3,売上点数,売上金額,値引数量3,売上点数,売上金額,値引数量3,売上点数,売上金額,値引数量3,売上点数,売上金額,値引数量3,売上点数,売上金額,値引数量3
【期間】,,【カテゴリ/商品】,,416135 ,90662603 ,178752 ,4 ,737 ,2 ,9787 ,1964564 ,5 ,19681 ,4084492 ,5 ,30167 ,6665172 ,13 ,29348 ,6863289 ,42 ,21965 ,4999777 ,1411 ,22901 ,5299737 ,1457 ,25472 ,5856499 ,1271 ,32507 ,7732182 ,2085 ,38773 ,9174097 ,9859 ,43115 ,10283022 ,26480 ,29452 ,7299127 ,24129 ,29446 ,6097437 ,28610 ,38014 ,7147554 ,37902 ,35266 ,5738683 ,35249 ,9821 ,1397043 ,9817 ,416 ,59191 ,415 
2016年03月26日(土),,92851023,三元豚手作りロースのソースかつ重,6,2738 ,3,,,,,,,,,,1,498 ,0,1,498 ,0,1,498 ,0 ,,,,1 ,448 ,1 ,,,,2 ,796 ,2 ,,,,,,,,,,,,,,,,,,,,,
2016年03月27日(日),,92851023,三元豚手作りロースのソースかつ重,6,2738 ,4,,,,,,,,,,1,498 ,0,1,498 ,0,,,,1 ,448 ,1 ,1 ,448 ,1 ,1 ,448 ,1 ,1 ,398 ,1 ,,,,,,,,,,,,,,,,,,,,,
2016年03月28日(月),,92851023,三元豚手作りロースのソースかつ重,6,1988 ,5,,,,,,,,,,,,,1,498 ,0,,,,,,,,,,,,,,,,4 ,1192 ,4 ,1 ,298 ,1 ,,,,,,,,,,,,,,,
2016年03月29日(火),,92851023,三元豚手作りロースのソースかつ重,12,5327 ,6,,,,,,,,,,1,498 ,0,,,,2,896 ,2 ,,,,,,,,,,1 ,398 ,1 ,4 ,1792 ,2 ,3 ,1494 ,0 ,,,,,,,1 ,249 ,1 ,,,,,,
2016年03月30日(水),,92851023,三元豚手作りロースのソースかつ重,6,2538 ,3,,,,2,996 ,0,1,498 ,0,,,,,,,1,448 ,1 ,,,,,,,,,,,,,2 ,596 ,2 ,,,,,,,,,,,,,,,,,,
2016年03月31日(木),,92851023,三元豚手作りロースのソースかつ重,6,2188 ,4,,,,,,,,,,2,996 ,0,,,,,,,,,,,,,,,,1 ,298 ,1 ,,,,3 ,894 ,3 ,,,,,,,,,,,,,,,
2016年04月01日(金),,92851023,三元豚手作りロースのソースかつ重,9,3882 ,5,,,,,,,,,,1,498 ,0,3,1494 ,0,,,,1 ,448 ,1 ,,,,,,,1 ,398 ,1 ,1 ,448 ,1 ,,,,1 ,298 ,1 ,1 ,298 ,1 ,,,,,,,,,
2016年04月02日(土),,92851023,三元豚手作りロースのソースかつ重,6,2538 ,3,,,,,,,1,498 ,0,2,996 ,0,,,,,,,,,,,,,1 ,448 ,1 ,1 ,298 ,1 ,1 ,298 ,1 ,,,,,,,,,,,,,,,,,,
2016年04月03日(日),,92851023,三元豚手作りロースのソースかつ重,6,2388 ,6,,,,,,,,,,,,,,,,1,448 ,1 ,,,,1 ,448 ,1 ,1 ,398 ,1 ,2 ,796 ,2 ,1 ,298 ,1 ,,,,,,,,,,,,,,,,,,
2016年04月04日(月),,92851023,三元豚手作りロースのソースかつ重,9,2933 ,9,,,,,,,,,,,,,,,,,,,,,,1 ,448 ,1 ,,,,,,,4 ,1192 ,4 ,2 ,746 ,2 ,,,,2 ,547 ,2 ,,,,,,,,,
2016年04月05日(火),,92851023,三元豚手作りロースのソースかつ重,7,2986 ,4,,,,,,,,,,1,498 ,0,2,996 ,0,,,,,,,,,,1 ,448 ,1 ,1 ,298 ,1 ,2 ,746 ,2 ,,,,,,,,,,,,,,,,,,
2016年04月06日(水),,92851023,三元豚手作りロースのソースかつ重,8,3284 ,7,,,,,,,,,,1,498 ,0,,,,,,,,,,,,,,,,,,,4 ,1592 ,4 ,1 ,398 ,1 ,1 ,398 ,1 ,1 ,398 ,1 ,,,,,,,,,
2016年04月07日(木),,92851023,三元豚手作りロースのソースかつ重,9,3782 ,7,,,,,,,2,996 ,0,,,,,,,,,,1 ,448 ,1 ,,,,2 ,896 ,2 ,1 ,398 ,1 ,,,,1 ,448 ,1 ,2 ,596 ,2 ,,,,,,,,,,,,
2016年04月08日(金),,92851023,三元豚手作りロースのソースかつ重,9,2933 ,8,,,,,,,,,,1,498 ,0,,,,,,,,,,,,,,,,3 ,994 ,3 ,1 ,298 ,1 ,1 ,298 ,1 ,2 ,596 ,2 ,,,,1 ,249 ,1 ,,,,,,
2016年04月09日(土),,92851023,三元豚手作りロースのソースかつ重,6,2388 ,6,,,,,,,,,,,,,,,,,,,1 ,448 ,1 ,,,,3 ,1344 ,3 ,,,,1 ,298 ,1 ,1 ,298 ,1 ,,,,,,,,,,,,,,,
2016年04月10日(日),,92851023,三元豚手作りロースのソースかつ重,9,3783 ,6,,,,,,,1,498 ,0,,,,2,996 ,0,,,,,,,,,,,,,,,,3 ,1144 ,3 ,3 ,1145 ,3 ,,,,,,,,,,,,,,,
2016年04月11日(月),,92851023,三元豚手作りロースのソースかつ重,9,3134 ,7,,,,,,,,,,,,,2,996 ,0,,,,,,,,,,,,,2 ,596 ,2 ,2 ,596 ,2 ,1 ,448 ,1 ,1 ,249 ,1 ,1 ,249 ,1 ,,,,,,,,,
2016年04月12日(火),,92851023,三元豚手作りロースのソースかつ重,6,2438 ,4,,,,,,,,,,,,,1,498 ,0,1,498 ,0 ,,,,1 ,448 ,1 ,,,,1 ,398 ,1 ,2 ,596 ,2 ,,,,,,,,,,,,,,,,,,
2016年04月13日(水),,92851023,三元豚手作りロースのソースかつ重,6,2088 ,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 ,1194 ,3 ,3 ,894 ,3 ,,,,,,,,,,,,,,,,,,
2016年04月14日(木),,92851023,三元豚手作りロースのソースかつ重,9,3034 ,8,,,,,,,,,,,,,,,,,,,1 ,448 ,1 ,,,,2 ,896 ,1 ,,,,4 ,1192 ,4 ,,,,,,,,,,2 ,498 ,2 ,,,,,,
2016年04月15日(金),,92851023,三元豚手作りロースのソースかつ重,9,4232 ,4,,,,,,,1,498 ,0,1,498 ,0,1,498 ,0,,,,3 ,1344 ,3 ,,,,1 ,498 ,0 ,,,,1 ,498 ,0 ,,,,1 ,398 ,1 ,,,,,,,,,,,,
2016年04月16日(土),,92851023,三元豚手作りロースのソースかつ重,9,4232 ,4,,,,,,,,,,1,498 ,0,2,996 ,0,,,,,,,,,,1 ,498 ,0 ,3 ,1394 ,2 ,1 ,448 ,1 ,1 ,398 ,1 ,,,,,,,,,,,,,,,
2016年04月18日(月),,92851023,三元豚手作りロースのソースかつ重,6,2488 ,4,,,,,,,,,,1,498 ,0,,,,,,,1 ,498 ,0 ,1 ,448 ,1 ,1 ,448 ,1 ,2 ,596 ,2 ,,,,,,,,,,,,,,,,,,,,,
2016年04月19日(火),,92851023,三元豚手作りロースのソースかつ重,3,1244 ,2,,,,,,,,,,1,498 ,0,,,,1,448 ,1 ,,,,,,,,,,,,,1 ,298 ,1 ,,,,,,,,,,,,,,,,,,
2016年04月20日(水),,92851023,三元豚手作りロースのソースかつ重,3,1244 ,2,,,,,,,1,498 ,0,,,,,,,,,,,,,,,,1 ,448 ,1 ,1 ,298 ,1 ,,,,,,,,,,,,,,,,,,,,,
2016年04月21日(木),,92851023,三元豚手作りロースのソースかつ重,3,1094 ,2,,,,,,,,,,1,498 ,0,,,,,,,,,,,,,,,,,,,2 ,596 ,2 ,,,,,,,,,,,,,,,,,,
2016年04月22日(金),,92851023,三元豚手作りロースのソースかつ重,3,1394 ,2,,,,,,,,,,,,,1,498 ,0,,,,2 ,896 ,2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016年04月23日(土),,92851023,三元豚手作りロースのソースかつ重,3,1244 ,2,,,,,,,,,,,,,1,498 ,0,,,,,,,1 ,448 ,1 ,,,,1 ,298 ,1 ,,,,,,,,,,,,,,,,,,,,,
2016年04月24日(日),,92851023,三元豚手作りロースのソースかつ重,11,4779 ,7,,,,,,,1,498 ,0,,,,1,498 ,0,,,,,,,,,,3 ,1444 ,1 ,,,,1 ,448 ,1 ,2 ,896 ,2 ,2 ,746 ,2 ,1 ,249 ,1 ,,,,,,,,,
2016年04月25日(月),,92851023,三元豚手作りロースのソースかつ重,9,3236 ,8,,,,,,,,,,,,,,,,,,,,,,2 ,896 ,2 ,1 ,448 ,1 ,,,,,,,1 ,498 ,0 ,1 ,249 ,1 ,4 ,1145 ,4 ,,,,,,,,,
2016年04月26日(火),,92851023,三元豚手作りロースのソースかつ重,6,1888 ,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 ,398 ,1 ,3 ,894 ,3 ,2 ,596 ,2 ,,,,,,,,,,,,,,,
2016年04月28日(木),,92851023,三元豚手作りロースのソースかつ重,4,1392 ,3,,,,,,,,,,,,,,,,1,498 ,0 ,,,,,,,,,,,,,3 ,894 ,3 ,,,,,,,,,,,,,,,,,,
2016年04月29日(金),,92851023,三元豚手作りロースのソースかつ重,10,3285 ,9,,,,,,,,,,,,,1,498 ,0,,,,,,,1 ,448 ,1 ,,,,1 ,398 ,1 ,1 ,298 ,1 ,,,,,,,4 ,1145 ,4 ,2 ,498 ,2 ,,,,,,
2016年04月30日(土),,92851023,三元豚手作りロースのソースかつ重,4,1892 ,1,,,,,,,,,,,,,1,498 ,0,1,498 ,0 ,,,,1 ,498 ,0 ,,,,1 ,398 ,1 ,,,,,,,,,,,,,,,,,,,,,
2016年05月01日(日),,92851023,三元豚手作りロースのソースかつ重,4,1942 ,1,,,,,,,,,,1,498 ,0,,,,2,996 ,0 ,,,,1 ,448 ,1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016年05月02日(月),,92851023,三元豚手作りロースのソースかつ重,4,1443 ,3,,,,,,,,,,,,,,,,1,498 ,0 ,,,,1 ,448 ,1 ,,,,,,,,,,1 ,298 ,1 ,,,,,,,1 ,199 ,1 ,,,,,,
2016年05月03日(火),,92851023,三元豚手作りロースのソースかつ重,4,1742 ,3,,,,,,,1,498 ,0,,,,,,,,,,2 ,896 ,2 ,,,,,,,,,,1 ,348 ,1 ,,,,,,,,,,,,,,,,,,
2016年05月04日(水),,92851023,三元豚手作りロースのソースかつ重,4,1492 ,3,,,,,,,,,,1,498 ,0,,,,,,,,,,,,,,,,,,,,,,1 ,398 ,1 ,2 ,596 ,2 ,,,,,,,,,,,,
2016年05月05日(木),,92851023,三元豚手作りロースのソースかつ重,4,1992 ,0,,,,1,498 ,0,,,,3,1494 ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016年05月06日(金),,92851023,三元豚手作りロースのソースかつ重,4,1792 ,1,,,,1,498 ,0,,,,1,498 ,0,,,,1,498 ,0 ,,,,,,,,,,1 ,298 ,1 ,,,,,,,,,,,,,,,,,,,,,
2016年05月07日(土),,92851023,三元豚手作りロースのソースかつ重,4,1192 ,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4 ,1192 ,4 ,,,,,,,,,,,,,,,,,,
2016年05月08日(日),,92851023,三元豚手作りロースのソースかつ重,4,1942 ,1,,,,,,,,,,,,,3,1494 ,0,,,,,,,1 ,448 ,1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016年05月09日(月),,92851023,三元豚手作りロースのソースかつ重,4,1542 ,3,,,,,,,,,,1,498 ,0,,,,,,,,,,1 ,448 ,1 ,,,,,,,1 ,298 ,1 ,1 ,298 ,1 ,,,,,,,,,,,,,,,
2016年05月10日(火),,92851023,三元豚手作りロースのソースかつ重,4,1892 ,1,,,,1,498 ,0,,,,1,498 ,0,1,498 ,0,,,,,,,,,,1 ,398 ,1 ,,,,,,,,,,,,,,,,,,,,,,,,
2016年05月11日(水),,92851023,三元豚手作りロースのソースかつ重,4,1592 ,2,,,,,,,,,,2,996 ,0,,,,,,,,,,,,,,,,,,,2 ,596 ,2 ,,,,,,,,,,,,,,,,,,
2016年05月12日(木),,92851023,三元豚手作りロースのソースかつ重,4,1692 ,3,,,,,,,1,498 ,0,,,,,,,,,,2 ,896 ,2 ,,,,,,,,,,1 ,298 ,1 ,,,,,,,,,,,,,,,,,,
2016年05月13日(金),,92851023,三元豚手作りロースのソースかつ重,4,1642 ,3,,,,,,,,,,1,498 ,0,,,,,,,1 ,448 ,1 ,,,,1 ,398 ,1 ,,,,1 ,298 ,1 ,,,,,,,,,,,,,,,,,,
2016年05月14日(土),,92851023,三元豚手作りロースのソースかつ重,4,1742 ,2,,,,,,,,,,1,498 ,0,1,498 ,0,,,,,,,,,,1 ,448 ,1 ,,,,1 ,298 ,1 ,,,,,,,,,,,,,,,,,,
2016年05月15日(日),,92851023,三元豚手作りロースのソースかつ重,10,3982 ,6,,,,,,,1,498 ,0,,,,,,,,,,,,,,,,1 ,498 ,0 ,1 ,498 ,0 ,2 ,796 ,2 ,1 ,498 ,0 ,,,,,,,2 ,696 ,2 ,2 ,498 ,2 ,,,
2016年05月16日(月),,92851023,三元豚手作りロースのソースかつ重,10,4231 ,5,,,,,,,3,1494 ,0,,,,,,,,,,,,,,,,,,,2 ,996 ,0 ,1 ,298 ,1 ,,,,1 ,398 ,1 ,3 ,1045 ,3 ,,,,,,,,,
2016年05月17日(火),,92851023,三元豚手作りロースのソースかつ重,4,1492 ,3,,,,,,,,,,1,498 ,0,,,,,,,,,,,,,,,,1 ,298 ,1 ,1 ,398 ,1 ,,,,,,,1 ,298 ,1 ,,,,,,,,,
2016年05月18日(水),,92851023,三元豚手作りロースのソースかつ重,4,1392 ,3,,,,,,,,,,1,498 ,0,,,,,,,,,,,,,,,,,,,2 ,596 ,2 ,1 ,298 ,1 ,,,,,,,,,,,,,,,
2016年05月19日(木),,92851023,三元豚手作りロースのソースかつ重,10,4131 ,7,,,,,,,1,498 ,0,,,,,,,,,,1 ,448 ,1 ,,,,1 ,448 ,1 ,2 ,796 ,1 ,1 ,498 ,0 ,,,,1 ,398 ,1 ,3 ,1045 ,3 ,,,,,,,,,
2016年05月20日(金),,92851023,三元豚手作りロースのソースかつ重,4,1392 ,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 ,796 ,2 ,2 ,596 ,2 ,,,,,,,,,,,,,,,,,,
2016年05月21日(土),,92851023,三元豚手作りロースのソースかつ重,8,2637 ,6,,,,,,,,,,1,498 ,0,,,,,,,,,,,,,,,,,,,4 ,1392 ,3 ,,,,,,,,,,3 ,747 ,3 ,,,,,,
2016年05月22日(日),,92851023,三元豚手作りロースのソースかつ重,12,3933 ,9,,,,1,498 ,0,,,,1,498 ,0,,,,,,,,,,,,,1 ,498 ,0 ,1 ,398 ,1 ,,,,,,,,,,5 ,1394 ,5 ,2 ,498 ,2 ,,,,1 ,149 ,1 
2016年05月23日(月),,92851023,三元豚手作りロースのソースかつ重,4,1492 ,3,,,,,,,,,,1,498 ,0,,,,,,,,,,,,,,,,1 ,398 ,1 ,2 ,596 ,2 ,,,,,,,,,,,,,,,,,,
2016年05月24日(火),,92851023,三元豚手作りロースのソースかつ重,4,1642 ,3,,,,,,,,,,,,,,,,1,498 ,0 ,,,,,,,1 ,448 ,1 ,1 ,398 ,1 ,1 ,298 ,1 ,,,,,,,,,,,,,,,,,,
2016年05月26日(木),,92851023,三元豚手作りロースのソースかつ重,4,1892 ,2,,,,,,,1,498 ,0,,,,1,498 ,0,1,448 ,1 ,1 ,448 ,1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016年05月27日(金),,92851023,三元豚手作りロースのソースかつ重,4,1592 ,2,,,,1,498 ,0,,,,,,,1,498 ,0,,,,,,,,,,,,,,,,,,,,,,2 ,596 ,2 ,,,,,,,,,,,,
2016年05月28日(土),,92851023,三元豚手作りロースのソースかつ重,6,2088 ,5,,,,,,,,,,,,,,,,1,498 ,0 ,,,,,,,,,,1 ,398 ,1 ,3 ,894 ,3 ,1 ,298 ,1 ,,,,,,,,,,,,,,,
2016年05月29日(日),,92851023,三元豚手作りロースのソースかつ重,4,1692 ,2,,,,,,,,,,2,996 ,0,,,,,,,,,,,,,,,,1 ,398 ,1 ,1 ,298 ,1 ,,,,,,,,,,,,,,,,,,
2016年05月30日(月),,92851023,三元豚手作りロースのソースかつ重,4,1592 ,2,,,,,,,1,498 ,0,,,,1,498 ,0,,,,,,,,,,,,,,,,1 ,298 ,1 ,1 ,298 ,1 ,,,,,,,,,,,,,,,
2016年05月31日(火),,92851023,三元豚手作りロースのソースかつ重,4,1542 ,4,,,,,,,,,,,,,,,,,,,,,,1 ,448 ,1 ,,,,2 ,796 ,2 ,,,,1 ,298 ,1 ,,,,,,,,,,,,,,,
2016年06月01日(水),,92851023,三元豚手作りロースのソースかつ重,4,1342 ,4,,,,,,,,,,,,,,,,,,,,,,,,,1 ,448 ,1 ,,,,3 ,894 ,3 ,,,,,,,,,,,,,,,,,,
2016年06月02日(木),,92851023,三元豚手作りロースのソースかつ重,4,1592 ,2,,,,,,,,,,,,,1,498 ,0,1,498 ,0 ,,,,,,,,,,2 ,596 ,2 ,,,,,,,,,,,,,,,,,,,,,
2016年06月03日(金),,92851023,三元豚手作りロースのソースかつ重,4,1592 ,3,,,,,,,,,,,,,,,,,,,1 ,498 ,0 ,,,,2 ,796 ,2 ,,,,1 ,298 ,1 ,,,,,,,,,,,,,,,,,,
2016年06月04日(土),,92851023,三元豚手作りロースのソースかつ重,4,1492 ,3,,,,,,,1,498 ,0,,,,,,,,,,,,,,,,,,,1 ,398 ,1 ,1 ,298 ,1 ,1 ,298 ,1 ,,,,,,,,,,,,,,,
2016年06月05日(日),,92851023,三元豚手作りロースのソースかつ重,4,1842 ,2,,,,,,,,,,,,,2,996 ,0,,,,1 ,448 ,1 ,,,,,,,1 ,398 ,1 ,,,,,,,,,,,,,,,,,,,,,
2016年06月06日(月),,92851023,三元豚手作りロースのソースかつ重,4,1542 ,3,,,,1,498 ,0,,,,,,,,,,1,448 ,1 ,,,,,,,,,,,,,2 ,596 ,2 ,,,,,,,,,,,,,,,,,,
2016年06月07日(火),,92851023,三元豚手作りロースのソースかつ重,10,3883 ,6,,,,,,,,,,1,498 ,0,1,498 ,0,1,448 ,1 ,,,,,,,,,,2 ,996 ,0 ,1 ,298 ,1 ,,,,1 ,398 ,1 ,1 ,249 ,1 ,2 ,498 ,2 ,,,,,,
2016年06月08日(水),,92851023,三元豚手作りロースのソースかつ重,4,1692 ,3,,,,,,,,,,1,498 ,0,,,,,,,,,,,,,2 ,896 ,2 ,1 ,298 ,1 ,,,,,,,,,,,,,,,,,,,,,
2016年06月09日(木),,92851023,三元豚手作りロースのソースかつ重,4,1942 ,1,,,,,,,,,,1,498 ,0,2,996 ,0,1,448 ,1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016年06月10日(金),,92851023,三元豚手作りロースのソースかつ重,4,1592 ,2,,,,2,996 ,0,,,,,,,,,,,,,,,,,,,,,,,,,2 ,596 ,2 ,,,,,,,,,,,,,,,,,,
2016年06月11日(土),,92851023,三元豚手作りロースのソースかつ重,4,1692 ,3,,,,,,,,,,1,498 ,0,,,,1,448 ,1 ,,,,,,,,,,1 ,448 ,1 ,1 ,298 ,1 ,,,,,,,,,,,,,,,,,,
2016年06月12日(日),,92851023,三元豚手作りロースのソースかつ重,4,1592 ,4,,,,,,,,,,,,,,,,,,,1 ,448 ,1 ,,,,1 ,398 ,1 ,1 ,398 ,1 ,1 ,348 ,1 ,,,,,,,,,,,,,,,,,,
2016年06月13日(月),,92851023,三元豚手作りロースのソースかつ重,4,1692 ,4,,,,,,,,,,,,,,,,,,,1 ,448 ,1 ,1 ,448 ,1 ,1 ,398 ,1 ,1 ,398 ,1 ,,,,,,,,,,,,,,,,,,,,,
2016年06月14日(火),,92851023,三元豚手作りロースのソースかつ重,4,1842 ,2,,,,,,,1,498 ,0,,,,1,498 ,0,,,,,,,,,,1 ,448 ,1 ,1 ,398 ,1 ,,,,,,,,,,,,,,,,,,,,,
2016年06月15日(水),,92851023,三元豚手作りロースのソースかつ重,4,1992 ,0,,,,,,,,,,1,498 ,0,3,1494 ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016年06月16日(木),,92851023,三元豚手作りロースのソースかつ重,4,1542 ,3,,,,,,,,,,1,498 ,0,,,,,,,,,,1 ,448 ,1 ,,,,,,,2 ,596 ,2 ,,,,,,,,,,,,,,,,,,
2016年06月17日(金),,92851023,三元豚手作りロースのソースかつ重,4,1392 ,3,,,,,,,,,,1,498 ,0,,,,,,,,,,,,,,,,,,,3 ,894 ,3 ,,,,,,,,,,,,,,,,,,
2016年06月18日(土),,92851023,三元豚手作りロースのソースかつ重,4,1842 ,3,,,,,,,,,,1,498 ,0,,,,2,896 ,2 ,,,,,,,1 ,448 ,1 ,,,,,,,,,,,,,,,,,,,,,,,,
2016年06月19日(日),,92851023,三元豚手作りロースのソースかつ重,4,1992 ,0,,,,1,498 ,0,,,,3,1494 ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016年06月20日(月),,92851023,三元豚手作りロースのソースかつ重,4,1442 ,4,,,,,,,,,,,,,,,,,,,,,,1 ,448 ,1 ,,,,1 ,398 ,1 ,2 ,596 ,2 ,,,,,,,,,,,,,,,,,,
2016年06月21日(火),,92851023,三元豚手作りロースのソースかつ重,4,1892 ,2,,,,,,,,,,2,996 ,0,,,,1,448 ,1 ,,,,,,,1 ,448 ,1 ,,,,,,,,,,,,,,,,,,,,,,,,
2016年06月22日(水),,92851023,三元豚手作りロースのソースかつ重,4,1442 ,4,,,,,,,,,,,,,,,,,,,,,,,,,1 ,448 ,1 ,1 ,398 ,1 ,1 ,298 ,1 ,1 ,298 ,1 ,,,,,,,,,,,,,,,
2016年06月23日(木),,92851023,三元豚手作りロースのソースかつ重,4,1742 ,3,,,,,,,,,,1,498 ,0,,,,1,448 ,1 ,,,,,,,,,,2 ,796 ,2 ,,,,,,,,,,,,,,,,,,,,,
2016年06月24日(金),,92851023,三元豚手作りロースのソースかつ重,4,1842 ,2,,,,,,,,,,,,,2,996 ,0,,,,,,,1 ,448 ,1 ,,,,1 ,398 ,1 ,,,,,,,,,,,,,,,,,,,,,
2016年06月25日(土),,92851023,三元豚手作りロースのソースかつ重,4,1642 ,4,,,,,,,,,,,,,,,,,,,,,,,,,3 ,1344 ,3 ,,,,1 ,298 ,1 ,,,,,,,,,,,,,,,,,,
2016年06月26日(日),,92851023,三元豚手作りロースのソースかつ重,4,1342 ,4,,,,,,,,,,,,,,,,,,,,,,,,,1 ,448 ,1 ,,,,2 ,596 ,2 ,1 ,298 ,1 ,,,,,,,,,,,,,,,
2016年06月27日(月),,92851023,三元豚手作りロースのソースかつ重,4,1192 ,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 ,894 ,3 ,1 ,298 ,1 ,,,,,,,,,,,,,,,
2016年06月28日(火),,92851023,三元豚手作りロースのソースかつ重,4,1392 ,3,,,,,,,,,,,,,1,498 ,0,,,,,,,,,,,,,,,,3 ,894 ,3 ,,,,,,,,,,,,,,,,,,
2016年06月29日(水),,92851023,三元豚手作りロースのソースかつ重,6,2288 ,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,5 ,1990 ,5 ,1 ,298 ,1 ,,,,,,,,,,,,,,,,,,
2016年06月30日(木),,92851023,三元豚手作りロースのソースかつ重,4,1742 ,2,,,,,,,,,,1,498 ,0,1,498 ,0,,,,1 ,448 ,1 ,,,,,,,1 ,298 ,1 ,,,,,,,,,,,,,,,,,,,,,
2016年07月01日(金),,92851023,三元豚手作りロースのソースかつ重,4,1792 ,1,,,,1,498 ,0,2,996 ,0,,,,,,,,,,,,,,,,,,,,,,1 ,298 ,1 ,,,,,,,,,,,,,,,,,,
2016年07月02日(土),,92851023,三元豚手作りロースのソースかつ重,12,4233 ,7,,,,,,,1,498 ,0,3,1494 ,0,,,,,,,,,,,,,,,,1 ,498 ,0 ,,,,,,,,,,6 ,1494 ,6 ,1 ,249 ,1 ,,,,,,
2016年07月03日(日),,92851023,三元豚手作りロースのソースかつ重,4,1492 ,3,,,,,,,,,,,,,1,498 ,0,,,,,,,,,,,,,3 ,994 ,3 ,,,,,,,,,,,,,,,,,,,,,
2016年07月04日(月),,92851023,三元豚手作りロースのソースかつ重,4,1692 ,3,,,,,,,,,,1,498 ,0,,,,,,,,,,,,,,,,,,,1 ,398 ,1 ,2 ,796 ,2 ,,,,,,,,,,,,,,,
2016年07月05日(火),,92851023,三元豚手作りロースのソースかつ重,4,1942 ,1,,,,1,498 ,0,,,,,,,,,,2,996 ,0 ,,,,1 ,448 ,1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016年07月06日(水),,92851023,三元豚手作りロースのソースかつ重,4,1642 ,4,,,,,,,,,,,,,,,,1,448 ,1 ,2 ,896 ,2 ,,,,,,,,,,1 ,298 ,1 ,,,,,,,,,,,,,,,,,,
2016年07月07日(木),,92851023,三元豚手作りロースのソースかつ重,4,1342 ,4,,,,,,,,,,,,,,,,,,,1 ,448 ,1 ,,,,,,,,,,3 ,894 ,3 ,,,,,,,,,,,,,,,,,,
2016年07月08日(金),,92851023,三元豚手作りロースのソースかつ重,4,1842 ,3,,,,,,,,,,1,498 ,0,,,,,,,,,,,,,3 ,1344 ,3 ,,,,,,,,,,,,,,,,,,,,,,,,
2016年07月09日(土),,92851023,三元豚手作りロースのソースかつ重,4,1942 ,1,,,,,,,1,498 ,0,2,996 ,0,,,,1,448 ,1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016年07月10日(日),,92851023,三元豚手作りロースのソースかつ重,12,4680 ,7,,,,3,1494 ,0,1,498 ,0,,,,,,,,,,,,,,,,,,,,,,,,,1 ,498 ,0 ,2 ,796 ,2 ,4 ,1145 ,4 ,1 ,249 ,1 ,,,,,,
2016年07月11日(月),,92851023,三元豚手作りロースのソースかつ重,8,3136 ,6,,,,,,,1,498 ,0,1,498 ,0,,,,,,,1 ,448 ,1 ,,,,,,,1 ,398 ,1 ,,,,,,,,,,2 ,796 ,2 ,2 ,498 ,2 ,,,,,,
2016年07月12日(火),,92851023,三元豚手作りロースのソースかつ重,4,1342 ,4,,,,,,,,,,,,,,,,1,448 ,1 ,,,,,,,,,,,,,2 ,596 ,2 ,,,,1 ,298 ,1 ,,,,,,,,,,,,
2016年07月13日(水),,92851023,三元豚手作りロースのソースかつ重,4,1692 ,3,,,,,,,,,,1,498 ,0,,,,1,448 ,1 ,,,,,,,,,,1 ,398 ,1 ,,,,1 ,348 ,1 ,,,,,,,,,,,,,,,
2016年07月14日(木),,92851023,三元豚手作りロースのソースかつ重,4,1892 ,2,,,,,,,1,498 ,0,,,,1,498 ,0,1,448 ,1 ,,,,1 ,448 ,1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
