youbi,SKUcode,item,urisuu,urikin,nesage,nine_urisuu,nine_urikin,nine_nesage,ten_urisuu,ten_urikin,ten_nesage,eleven_urisuu,eleven_urikin,eleven_nesage,noon_urisuu,noon_urikin,noon_nesage,one_urisuu,one_urikin,one_nesage,two_urisuu,two_urikin,two_nesage,three_urisuu,three_urikin,three_nesage,four_urisuu,four_urikin,four_nesage,five_urisuu,five_urikin,five_nesage,six_urisuu,six_urikin,six_nesage,seven_urisuu,seven_urikin,seven_nesage,eight_urisuu,eight_urikin,eight_nesage,pm_nine_urisuu,pm_nine_urikin,pm_nine_nesage,pm_ten_urisuu,pm_ten_urikin,pm_ten_nesage,pm_eleve_urisuu,pm_eleven_urikin,pm_eleven_nesage
2017年04月30日(日),92631267,あぶり焼きチキン,10,2171,5,,,,1,188,0,,,,,,,,,,,,,1,188,0,1,298,0,2,376,0,2,437,2,1,268,1,,,,2,416,2,,,,,,
2017年05月01日(月),92631267,あぶり焼きチキン,36,10500,16,2,596,0,1,188,0,2,768,0,,,,2,878,0,3,894,0,2,878,0,3,894,0,4,1364,0,5,1381,4,4,1098,4,3,607,3,5,954,5,,,,,,
2017年05月02日(火),92631267,あぶり焼きチキン,19,6126,10,,,,,,,1,398,0,1,398,0,,,,2,796,0,,,,2,796,0,2,796,0,2,756,1,,,,3,834,3,6,1352,6,,,,,,
2017年05月03日(水),92631267,あぶり焼きチキン,80,25697,17,4,1558,0,3,840,0,2,458,0,4,1660,0,1,280,0,4,1558,0,7,2398,0,8,2948,0,10,3526,3,19,7454,4,9,2076,2,1,178,0,4,356,4,4,407,4,,,
2017年05月04日(木),92631267,あぶり焼きチキン,20,4664,4,,,,,,,,,,2,596,0,2,376,0,3,564,0,1,298,0,1,298,0,4,1082,0,3,674,0,,,,4,776,4,,,,,,,,,
2017年05月05日(金),92631267,あぶり焼きチキン,62,22723,13,,,,1,580,0,1,188,0,2,768,0,4,1364,0,4,1536,0,10,2602,0,11,5130,0,8,2580,4,8,3390,0,7,3053,3,3,714,3,3,818,3,,,,,,
2017年05月06日(土),92631267,あぶり焼きチキン,10,1861,8,,,,,,,,,,,,,,,,,,,,,,2,486,0,,,,1,169,1,4,832,4,2,262,2,1,112,1,,,,,,
2017年05月07日(日),92631267,あぶり焼きチキン,52,14486,26,1,298,0,2,1160,0,5,1662,0,3,1066,0,2,376,0,4,972,0,3,784,0,3,956,0,6,1390,3,4,1227,4,3,1334,3,2,369,2,7,1729,7,7,1163,7,,,
2017年05月08日(月),92631267,あぶり焼きチキン,26,5855,16,,,,1,580,0,,,,,,,3,1066,0,,,,2,768,0,2,376,0,2,376,0,3,606,3,3,393,3,2,339,2,5,904,5,3,447,3,,,
2017年05月09日(火),92631267,あぶり焼きチキン,33,9487,12,3,674,0,1,298,0,1,298,0,,,,1,188,0,1,298,0,5,1160,0,4,1756,0,5,1270,0,4,1227,4,4,1206,4,1,208,1,3,904,3,,,,,,
2017年05月10日(水),92631267,あぶり焼きチキン,35,8629,20,1,188,0,1,188,0,2,376,0,2,486,0,1,580,0,1,188,0,1,298,0,1,298,0,3,1458,0,4,923,2,5,1132,5,4,718,4,3,534,3,6,1262,6,,,
2017年05月11日(木),92631267,あぶり焼きチキン,17,6356,2,,,,2,796,0,,,,1,398,0,1,398,0,1,398,0,1,398,0,4,1592,0,4,1592,0,1,398,0,1,244,1,1,142,1,,,,,,,,,
2017年05月12日(金),92631267,あぶり焼きチキン,42,11219,20,,,,1,280,0,2,356,0,2,728,0,2,458,0,1,280,0,4,1288,0,1,550,0,5,1568,0,4,1632,1,9,2171,8,1,440,1,7,1020,7,3,448,3,,,
2017年05月13日(土),92631267,あぶり焼きチキン,56,16476,21,,,,,,,2,356,0,2,356,0,6,2658,0,6,1644,0,4,1186,0,6,1848,0,7,2786,0,5,1727,3,3,480,3,7,2277,7,8,1158,8,,,,,,
2017年05月14日(日),92631267,あぶり焼きチキン,80,20180,29,3,738,0,3,738,0,3,738,0,4,1018,0,,,,9,2280,0,6,1746,0,5,1568,0,9,3768,0,12,2970,3,2,412,2,6,1410,6,4,686,4,11,1556,11,2,332,2
2017年05月15日(月),92631267,あぶり焼きチキン,27,6643,11,1,580,0,,,,2,596,0,,,,1,298,0,,,,5,1050,0,1,298,0,3,956,0,3,1458,0,1,169,1,,,,5,863,5,4,300,4,1,75,1
2017年05月16日(火),92631267,あぶり焼きチキン,39,10605,21,,,,1,188,0,3,1348,0,2,376,0,,,,,,,5,1834,0,2,376,0,2,596,0,10,3222,8,5,1170,4,1,238,1,7,1108,7,1,149,1,,,
2017年05月17日(水),92631267,あぶり焼きチキン,35,8639,17,,,,1,298,0,1,188,0,5,1160,0,,,,3,674,0,3,894,0,5,1442,0,1,268,1,3,705,3,5,1965,5,1,150,1,6,801,6,1,94,1,,,
2017年05月18日(木),92631267,あぶり焼きチキン,21,5955,15,,,,,,,2,796,0,1,398,0,,,,,,,1,398,0,,,,2,796,0,2,716,2,3,942,3,1,278,1,4,796,4,5,835,5,,,
2017年05月19日(金),92631267,あぶり焼きチキン,32,7218,23,,,,,,,,,,1,280,0,,,,,,,1,280,0,4,1390,0,2,560,0,9,2253,8,4,860,4,2,320,2,3,690,3,6,585,6,,,
2017年05月20日(土),92631267,あぶり焼きチキン,59,14014,28,1,178,0,3,1008,0,3,636,0,4,916,0,1,280,0,5,1196,0,4,1288,0,2,728,0,8,2000,0,2,990,2,5,1355,5,4,884,4,9,1573,9,7,893,7,1,89,1
2017年05月21日(日),92631267,あぶり焼きチキン,64,19010,25,3,636,0,1,178,0,2,560,0,4,1660,0,6,1644,0,3,840,0,6,2118,0,1,178,0,9,3768,0,5,1709,4,6,1747,3,7,1348,7,10,2349,10,1,275,1,,,
2017年05月22日(月),92631267,あぶり焼きチキン,42,11921,23,2,596,0,1,188,0,2,486,0,2,486,0,,,,5,2116,0,3,784,0,4,2320,0,2,437,2,6,2017,6,5,1082,5,3,547,3,2,357,2,2,238,2,3,267,3
2017年05月23日(火),92631267,あぶり焼きチキン,26,8680,13,1,580,0,,,,2,878,0,1,580,0,2,878,0,1,580,0,2,596,0,1,188,0,4,2262,1,3,606,3,2,300,2,6,1138,6,1,94,1,,,,,,
2017年05月24日(水),92631267,あぶり焼きチキン,40,8490,29,,,,2,376,0,2,596,0,,,,2,596,0,,,,1,580,0,1,580,0,3,1176,0,3,705,3,3,959,3,2,262,2,5,635,5,9,1368,9,6,582,6
2017年05月25日(木),92631267,あぶり焼きチキン,24,7413,17,,,,,,,1,398,0,,,,2,796,0,,,,2,796,0,,,,3,1154,1,3,1074,3,5,1658,5,1,278,1,7,1259,7,,,,,,
2017年05月26日(金),92631267,あぶり焼きチキン,28,7928,11,,,,,,,,,,1,188,0,1,298,0,1,188,0,2,486,0,3,1176,0,8,2226,0,8,2413,7,3,804,3,,,,1,149,1,,,,,,
2017年05月27日(土),92631267,あぶり焼きチキン,39,10066,19,1,188,0,2,376,0,2,376,0,1,580,0,3,564,0,3,1458,0,2,596,0,3,956,0,1,298,0,6,1653,4,1,268,1,,,,2,339,2,9,1685,9,3,729,3
2017年05月28日(日),92631267,あぶり焼きチキン,52,14481,23,,,,1,178,0,5,1196,0,2,830,0,3,906,0,2,560,0,5,1568,0,1,280,0,9,3126,0,7,2337,6,6,1428,6,3,616,3,8,1456,8,,,,,,
2017年05月29日(月),92631267,あぶり焼きチキン,41,10548,22,2,486,0,1,298,0,2,376,0,1,188,0,,,,4,2038,0,1,188,0,,,,5,1270,0,8,1941,6,3,1088,2,2,416,2,5,1084,5,7,1175,7,,,
2017年05月30日(火),92631267,あぶり焼きチキン,30,7661,15,,,,1,188,0,3,956,0,1,580,0,1,298,0,2,486,0,,,,2,768,0,2,486,0,4,1196,1,2,674,2,2,614,2,7,1133,7,3,282,3,,,
2017年05月31日(水),92631267,あぶり焼きチキン,53,13601,18,1,550,0,3,636,0,6,1374,0,3,1008,0,3,1008,0,,,,2,560,0,5,1736,0,8,1648,4,8,2446,1,,,,5,992,4,2,472,2,3,611,3,4,560,4
2017年06月01日(木),92631267,あぶり焼きチキン,46,15104,22,2,796,0,3,1194,0,2,796,0,3,1194,0,1,398,0,5,1990,0,,,,6,2388,0,2,796,0,1,358,1,5,1615,5,4,1112,4,10,2069,10,2,398,2,,,
