youbi,SKUcode,item,urisuu,urikin,nesage,nine_urisuu,nine_urikin,nine_nesage,ten_urisuu,ten_urikin,ten_nesage,eleven_urisuu,eleven_urikin,eleven_nesage,noon_urisuu,noon_urikin,noon_nesage,one_urisuu,one_urikin,one_nesage,two_urisuu,two_urikin,two_nesage,three_urisuu,three_urikin,three_nesage,four_urisuu,four_urikin,four_nesage,five_urisuu,five_urikin,five_nesage,six_urisuu,six_urikin,six_nesage,seven_urisuu,seven_urikin,seven_nesage,eight_urisuu,eight_urikin,eight_nesage,pm_nine_urisuu,pm_nine_urikin,pm_nine_nesage,pm_ten_urisuu,pm_ten_urikin,pm_ten_nesage,pm_eleve_urisuu,pm_eleven_urikin,pm_eleven_nesage,
2017年07月01日(土),92855021,うどん＆煮込みカツ丼セット,11 ,3938 ,5 ,,,,,,,6 ,2388 ,0 ,,,,,,,1 ,358 ,1 ,,,,1 ,358 ,1 ,,,,,,,2 ,556 ,2 ,,,,,,,1 ,278 ,1 ,,,,
2017年07月02日(日),92855021,うどん＆煮込みカツ丼セット,6 ,2388 ,0 ,2 ,796 ,0 ,2 ,796 ,0 ,,,,2 ,796 ,0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017年07月03日(月),92855021,うどん＆煮込みカツ丼セット,4 ,994 ,3 ,,,,1 ,398 ,0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 ,238 ,1 ,,,,2 ,358 ,2 ,,,,
2017年07月04日(火),92855021,うどん＆煮込みカツ丼セット,6 ,1511 ,5 ,,,,,,,,,,,,,1 ,398 ,0 ,,,,,,,,,,,,,1 ,318 ,1 ,1 ,278 ,1 ,,,,1 ,199 ,1 ,,,,2 ,318 ,2 ,
2017年07月05日(水),92855021,うどん＆煮込みカツ丼セット,6 ,2068 ,4 ,,,,,,,1 ,398 ,0 ,1 ,398 ,0 ,,,,,,,,,,,,,4 ,1272 ,4 ,,,,,,,,,,,,,,,,,,,
2017年07月06日(木),92855021,うどん＆煮込みカツ丼セット,6 ,1509 ,6 ,,,,,,,,,,,,,,,,,,,1 ,358 ,1 ,,,,,,,,,,4 ,952 ,4 ,,,,,,,1 ,199 ,1 ,,,,
2017年07月07日(金),92855021,うどん＆煮込みカツ丼セット,6 ,2268 ,1 ,,,,,,,1 ,398 ,0 ,2 ,796 ,0 ,1 ,398 ,0 ,,,,,,,1 ,398 ,0 ,,,,,,,,,,,,,1 ,278 ,1 ,,,,,,,
2017年07月08日(土),92855021,うどん＆煮込みカツ丼セット,8 ,2394 ,5 ,,,,1 ,380 ,0 ,1 ,380 ,0 ,1 ,380 ,0 ,1 ,342 ,1 ,,,,,,,,,,,,,1 ,228 ,1 ,3 ,684 ,3 ,,,,,,,,,,,,,
2017年07月09日(日),92855021,うどん＆煮込みカツ丼セット,6 ,2108 ,4 ,,,,2 ,796 ,0 ,,,,,,,,,,,,,2 ,716 ,2 ,,,,2 ,596 ,2 ,,,,,,,,,,,,,,,,,,,
2017年07月10日(月),92855021,うどん＆煮込みカツ丼セット,6 ,1828 ,5 ,,,,,,,,,,1 ,398 ,0 ,,,,,,,,,,,,,1 ,318 ,1 ,,,,,,,2 ,556 ,2 ,2 ,556 ,2 ,,,,,,,
2017年07月11日(火),92855021,うどん＆煮込みカツ丼セット,6 ,2388 ,0 ,,,,,,,1 ,398 ,0 ,5 ,1990 ,0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017年07月12日(水),92855021,うどん＆煮込みカツ丼セット,6 ,1588 ,5 ,,,,,,,,,,,,,1 ,398 ,0 ,,,,,,,,,,2 ,476 ,2 ,3 ,714 ,3 ,,,,,,,,,,,,,,,,
2017年07月13日(木),92855021,うどん＆煮込みカツ丼セット,6 ,1950 ,3 ,,,,2 ,796 ,0 ,1 ,398 ,0 ,,,,1 ,358 ,1 ,,,,,,,,,,,,,,,,,,,,,,,,,1 ,199 ,1 ,1 ,199 ,1 ,
2017年07月14日(金),92855021,うどん＆煮込みカツ丼セット,6 ,1988 ,4 ,,,,1 ,398 ,0 ,,,,1 ,398 ,0 ,,,,2 ,716 ,2 ,,,,,,,,,,1 ,238 ,1 ,1 ,238 ,1 ,,,,,,,,,,,,,
2017年07月15日(土),92855021,うどん＆煮込みカツ丼セット,7 ,2166 ,3 ,1 ,380 ,0 ,1 ,380 ,0 ,,,,2 ,760 ,0 ,,,,,,,1 ,342 ,1 ,,,,,,,,,,1 ,152 ,1 ,1 ,152 ,1 ,,,,,,,,,,
2017年07月16日(日),92855021,うどん＆煮込みカツ丼セット,6 ,2388 ,0 ,,,,5 ,1990 ,0 ,1 ,398 ,0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017年07月17日(月),92855021,うどん＆煮込みカツ丼セット,6 ,1550 ,5 ,,,,,,,1 ,398 ,0 ,,,,,,,1 ,358 ,1 ,,,,,,,2 ,476 ,2 ,,,,1 ,159 ,1 ,1 ,159 ,1 ,,,,,,,,,,
2017年07月18日(火),92855021,うどん＆煮込みカツ丼セット,6 ,1708 ,5 ,,,,,,,,,,1 ,398 ,0 ,,,,1 ,358 ,1 ,,,,,,,,,,2 ,476 ,2 ,2 ,476 ,2 ,,,,,,,,,,,,,
2017年07月19日(水),92855021,うどん＆煮込みカツ丼セット,6 ,1828 ,4 ,,,,1 ,398 ,0 ,,,,1 ,398 ,0 ,,,,,,,,,,,,,1 ,318 ,1 ,3 ,714 ,3 ,,,,,,,,,,,,,,,,
2017年07月20日(木),92855021,うどん＆煮込みカツ丼セット,5 ,1990 ,0 ,,,,,,,4 ,1592 ,0 ,1 ,398 ,0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017年07月21日(金),92855021,うどん＆煮込みカツ丼セット,5 ,1790 ,2 ,,,,,,,2 ,796 ,0 ,1 ,398 ,0 ,,,,,,,,,,,,,1 ,318 ,1 ,,,,1 ,278 ,1 ,,,,,,,,,,,,,
2017年07月22日(土),92855021,うどん＆煮込みカツ丼セット,6 ,1786 ,4 ,1 ,380 ,0 ,1 ,380 ,0 ,,,,,,,,,,,,,1 ,342 ,1 ,,,,,,,,,,2 ,456 ,2 ,1 ,228 ,1 ,,,,,,,,,,
2017年07月23日(日),92855021,うどん＆煮込みカツ丼セット,6 ,1828 ,5 ,,,,,,,,,,1 ,398 ,0 ,,,,1 ,358 ,1 ,,,,1 ,358 ,1 ,3 ,714 ,3 ,,,,,,,,,,,,,,,,,,,
2017年07月24日(月),92855021,うどん＆煮込みカツ丼セット,8 ,1670 ,7 ,,,,,,,,,,1 ,398 ,0 ,,,,,,,,,,,,,,,,1 ,318 ,1 ,,,,,,,,,,3 ,597 ,3 ,3 ,357 ,3 ,
2017年07月25日(火),92855021,うどん＆煮込みカツ丼セット,6 ,2308 ,2 ,,,,1 ,398 ,0 ,3 ,1194 ,0 ,,,,,,,,,,2 ,716 ,2 ,,,,,,,,,,,,,,,,,,,,,,,,,
2017年07月26日(水),92855021,うどん＆煮込みカツ丼セット,3 ,1194 ,0 ,,,,,,,,,,2 ,796 ,0 ,1 ,398 ,0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017年07月27日(木),92855021,うどん＆煮込みカツ丼セット,6 ,2280 ,0 ,,,,1 ,380 ,0 ,2 ,760 ,0 ,3 ,1140 ,0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017年07月29日(土),92855021,うどん＆煮込みカツ丼セット,3 ,1074 ,2 ,,,,,,,,,,,,,,,,,,,1 ,398 ,0 ,,,,1 ,358 ,1 ,,,,1 ,318 ,1 ,,,,,,,,,,,,,
2017年07月30日(日),92855021,うどん＆煮込みカツ丼セット,6 ,2148 ,3 ,,,,,,,,,,1 ,398 ,0 ,,,,1 ,398 ,0 ,,,,1 ,398 ,0 ,,,,2 ,636 ,2 ,1 ,318 ,1 ,,,,,,,,,,,,,
2017年08月01日(火),92855021,うどん＆煮込みカツ丼セット,4 ,1026 ,4 ,,,,,,,,,,,,,,,,1 ,342 ,1 ,,,,,,,,,,1 ,228 ,1 ,1 ,228 ,1 ,1 ,228 ,1 ,,,,,,,,,,
2017年08月02日(水),92855021,うどん＆煮込みカツ丼セット,2 ,796 ,0 ,,,,,,,,,,,,,2 ,796 ,0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017年08月03日(木),92855021,うどん＆煮込みカツ丼セット,6 ,1710 ,5 ,,,,,,,,,,,,,1 ,398 ,0 ,,,,,,,,,,,,,1 ,318 ,1 ,1 ,318 ,1 ,1 ,278 ,1 ,1 ,199 ,1 ,1 ,199 ,1 ,,,,
2017年08月04日(金),92855021,うどん＆煮込みカツ丼セット,6 ,1670 ,4 ,,,,,,,,,,1 ,398 ,0 ,,,,,,,1 ,398 ,0 ,,,,,,,,,,,,,1 ,278 ,1 ,1 ,278 ,1 ,2 ,318 ,2 ,,,,
2017年08月05日(土),92855021,うどん＆煮込みカツ丼セット,2 ,796 ,0 ,,,,,,,,,,1 ,398 ,0 ,1 ,398 ,0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017年08月06日(日),92855021,うどん＆煮込みカツ丼セット,8 ,2664 ,5 ,,,,,,,1 ,398 ,0 ,2 ,796 ,0 ,,,,,,,,,,,,,,,,1 ,318 ,1 ,2 ,596 ,2 ,2 ,556 ,2 ,,,,,,,,,,
2017年08月07日(月),92855021,うどん＆煮込みカツ丼セット,10 ,3380 ,7 ,,,,,,,2 ,796 ,0 ,,,,1 ,398 ,0 ,,,,,,,,,,,,,3 ,954 ,3 ,3 ,954 ,3 ,,,,1 ,278 ,1 ,,,,,,,
2017年08月08日(火),92855021,うどん＆煮込みカツ丼セット,5 ,1074 ,5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 ,278 ,1 ,1 ,199 ,1 ,2 ,398 ,2 ,1 ,199 ,1 ,
2017年08月09日(水),92855021,うどん＆煮込みカツ丼セット,4 ,1592 ,0 ,,,,,,,1 ,398 ,0 ,2 ,796 ,0 ,1 ,398 ,0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017年08月10日(木),92855021,うどん＆煮込みカツ丼セット,6 ,2308 ,2 ,,,,,,,2 ,796 ,0 ,,,,1 ,398 ,0 ,1 ,398 ,0 ,1 ,358 ,1 ,,,,,,,1 ,358 ,1 ,,,,,,,,,,,,,,,,
2017年08月11日(金),92855021,うどん＆煮込みカツ丼セット,17 ,4096 ,16 ,,,,,,,,,,,,,,,,,,,,,,1 ,398 ,0 ,1 ,358 ,1 ,,,,2 ,556 ,2 ,3 ,834 ,3 ,6 ,1194 ,6 ,4 ,756 ,4 ,,,,
2017年08月12日(土),92855021,うどん＆煮込みカツ丼セット,6 ,2228 ,3 ,,,,,,,2 ,796 ,0 ,1 ,398 ,0 ,2 ,716 ,2 ,,,,,,,,,,1 ,318 ,1 ,,,,,,,,,,,,,,,,,,,
2017年08月13日(日),92855021,うどん＆煮込みカツ丼セット,6 ,2228 ,2 ,,,,,,,2 ,796 ,0 ,1 ,398 ,0 ,1 ,398 ,0 ,,,,,,,,,,1 ,318 ,1 ,1 ,318 ,1 ,,,,,,,,,,,,,,,,
2017年08月14日(月),92855021,うどん＆煮込みカツ丼セット,7 ,2427 ,4 ,,,,,,,,,,2 ,796 ,0 ,1 ,398 ,0 ,,,,,,,,,,2 ,716 ,2 ,1 ,358 ,1 ,,,,,,,,,,1 ,159 ,1 ,,,,
2017年08月15日(火),92855021,うどん＆煮込みカツ丼セット,6 ,1711 ,4 ,,,,,,,,,,1 ,398 ,0 ,1 ,398 ,0 ,,,,,,,,,,,,,,,,2 ,517 ,2 ,2 ,398 ,2 ,,,,,,,,,,
2017年08月16日(水),92855021,うどん＆煮込みカツ丼セット,2 ,796 ,0 ,,,,,,,2 ,796 ,0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017年08月17日(木),92855021,うどん＆煮込みカツ丼セット,5 ,1830 ,2 ,,,,,,,,,,3 ,1194 ,0 ,,,,,,,,,,,,,,,,2 ,636 ,2 ,,,,,,,,,,,,,,,,
2017年08月18日(金),92855021,うどん＆煮込みカツ丼セット,2 ,756 ,1 ,,,,,,,,,,,,,1 ,398 ,0 ,,,,,,,,,,,,,1 ,358 ,1 ,,,,,,,,,,,,,,,,
2017年08月19日(土),92855021,うどん＆煮込みカツ丼セット,5 ,1630 ,3 ,,,,,,,,,,1 ,398 ,0 ,1 ,398 ,0 ,,,,,,,,,,,,,,,,,,,3 ,834 ,3 ,,,,,,,,,,
2017年08月20日(日),92855021,うどん＆煮込みカツ丼セット,1 ,342 ,1 ,,,,,,,,,,,,,,,,,,,,,,1 ,342 ,1 ,,,,,,,,,,,,,,,,,,,,,,
2017年08月21日(月),92855021,うどん＆煮込みカツ丼セット,7 ,2306 ,3 ,,,,,,,2 ,796 ,0 ,1 ,398 ,0 ,1 ,398 ,0 ,,,,,,,,,,,,,1 ,238 ,1 ,1 ,238 ,1 ,1 ,238 ,1 ,,,,,,,,,,
2017年08月23日(水),92855021,うどん＆煮込みカツ丼セット,4 ,915 ,4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 ,318 ,1 ,2 ,398 ,2 ,1 ,199 ,1 ,,,,,,,,,,
