youbi,SKUcode,item,urisuu,urikin,nesage,nine_urisuu,nine_urikin,nine_nesage,ten_urisuu,ten_urikin,ten_nesage,eleven_urisuu,eleven_urikin,eleven_nesage,noon_urisuu,noon_urikin,noon_nesage,one_urisuu,one_urikin,one_nesage,two_urisuu,two_urikin,two_nesage,three_urisuu,three_urikin,three_nesage,four_urisuu,four_urikin,four_nesage,five_urisuu,five_urikin,five_nesage,six_urisuu,six_urikin,six_nesage,seven_urisuu,seven_urikin,seven_nesage,eight_urisuu,eight_urikin,eight_nesage,pm_nine_urisuu,pm_nine_urikin,pm_nine_nesage,pm_ten_urisuu,pm_ten_urikin,pm_ten_nesage,pm_eleve_urisuu,pm_eleven_urikin,pm_eleven_nesage,
2017年04月17日(月),92855021,うどん＆煮込みカツ丼セット,6 ,2028 ,3 ,,,,,,,,,,2 ,796 ,0 ,1 ,398 ,0 ,,,,1 ,358 ,1 ,,,,,,,1 ,238 ,1 ,1 ,238 ,1 ,,,,,,,,,,,,,
2017年04月18日(火),92855021,うどん＆煮込みカツ丼セット,6 ,1588 ,5 ,,,,1 ,398 ,0 ,,,,,,,,,,,,,,,,,,,,,,4 ,952 ,4 ,1 ,238 ,1 ,,,,,,,,,,,,,
2017年04月19日(水),92855021,うどん＆煮込みカツ丼セット,9 ,3142 ,5 ,,,,,,,2 ,796 ,0 ,2 ,796 ,0 ,,,,3 ,1074 ,3 ,,,,,,,1 ,238 ,1 ,,,,1 ,238 ,1 ,,,,,,,,,,,,,
2017年04月20日(木),92855021,うどん＆煮込みカツ丼セット,6 ,1828 ,4 ,,,,,,,,,,,,,2 ,796 ,0 ,,,,,,,1 ,318 ,1 ,,,,1 ,238 ,1 ,1 ,238 ,1 ,1 ,238 ,1 ,,,,,,,,,,
2017年04月21日(金),92855021,うどん＆煮込みカツ丼セット,6 ,2068 ,4 ,,,,,,,,,,2 ,796 ,0 ,,,,,,,,,,,,,1 ,318 ,1 ,3 ,954 ,3 ,,,,,,,,,,,,,,,,
2017年04月22日(土),92855021,うどん＆煮込みカツ丼セット,6 ,1788 ,5 ,,,,,,,,,,,,,1 ,398 ,0 ,,,,,,,,,,1 ,278 ,1 ,1 ,278 ,1 ,,,,3 ,834 ,3 ,,,,,,,,,,
2017年04月23日(日),92855021,うどん＆煮込みカツ丼セット,6 ,2228 ,1 ,,,,,,,2 ,796 ,0 ,3 ,1194 ,0 ,,,,,,,,,,,,,,,,,,,1 ,238 ,1 ,,,,,,,,,,,,,
2017年04月24日(月),92855021,うどん＆煮込みカツ丼セット,8 ,2926 ,3 ,2 ,760 ,0 ,,,,1 ,380 ,0 ,2 ,760 ,0 ,3 ,1026 ,3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017年04月25日(火),92855021,うどん＆煮込みカツ丼セット,6 ,2028 ,5 ,,,,1 ,398 ,0 ,,,,2 ,716 ,2 ,,,,1 ,358 ,1 ,,,,,,,,,,,,,1 ,278 ,1 ,1 ,278 ,1 ,,,,,,,,,,
2017年04月26日(水),92855021,うどん＆煮込みカツ丼セット,6 ,2028 ,3 ,1 ,398 ,0 ,,,,,,,1 ,398 ,0 ,1 ,398 ,0 ,,,,1 ,358 ,1 ,,,,1 ,238 ,1 ,1 ,238 ,1 ,,,,,,,,,,,,,,,,
