date,youbi,month,SKUcode,item,urisuu,urikin,nesage,nine_urisuu,nine_urikin,nine_nesage,ten_urisuu,ten_urikin,ten_nesage,eleven_urisuu,eleven_urikin,eleven_nesage,noon_urisuu,noon_urikin,noon_nesage,one_urisuu,one_urikin,one_nesage,two_urisuu,two_urikin,two_nesage,three_urisuu,three_urikin,three_nesage,four_urisuu,four_urikin,four_nesage,five_urisuu,five_urikin,five_nesage,six_urisuu,six_urikin,six_nesage,seven_urisuu,seven_urikin,seven_nesage,eight_urisuu,eight_urikin,eight_nesage,pm_nine_urisuu,pm_nine_urikin,pm_nine_nesage,pm_ten_urisuu,pm_ten_urikin,pm_ten_nesage,pm_eleve_urisuu,pm_eleven_urikin,pm_eleven_nesage
2017年06月26日(月),月,6月,92851023,三元もち豚のソースカツ丼,4,1442,4,,,,,,,,,,,,,,,,,,,,,,2,846,2,,,,1,298,1,1,298,1,,,,,,,,,,,,
2017年06月27日(火),火,6月,92851023,三元もち豚のソースカツ丼,4,1592,2,,,,,,,,,,1,498,0,1,498,0,,,,,,,,,,2,596,2,,,,,,,,,,,,,,,,,,
2017年06月28日(水),水,6月,92851023,三元もち豚のソースカツ丼,4,1192,4,,,,,,,,,,,,,,,,,,,,,,2,596,2,1,298,1,1,298,1,,,,,,,,,,,,,,,
2017年06月29日(木),木,6月,92851023,三元もち豚のソースカツ丼,4,1292,4,,,,,,,,,,,,,,,,,,,,,,1,398,1,1,298,1,1,298,1,,,,1,298,1,,,,,,,,,
2017年06月30日(金),金,6月,92851023,三元もち豚のソースカツ丼,4,1292,4,,,,,,,,,,,,,,,,,,,,,,,,,1,398,1,3,894,3,,,,,,,,,,,,,,,
2017年07月01日(土),土,7月,92851023,三元もち豚のソースカツ丼,4,1842,1,,,,1,498,0,,,,1,498,0,1,498,0,,,,,,,,,,,,,1,348,1,,,,,,,,,,,,,,,
2017年07月02日(日),日,7月,92851023,三元もち豚のソースカツ丼,4,1792,3,,,,,,,,,,1,498,0,,,,2,896,2,,,,,,,1,398,1,,,,,,,,,,,,,,,,,,
2017年07月03日(月),月,7月,92851023,三元もち豚のソースカツ丼,4,1742,2,,,,,,,,,,2,996,0,,,,1,448,1,,,,,,,,,,1,298,1,,,,,,,,,,,,,,,
2017年07月04日(火),火,7月,92851023,三元もち豚のソースカツ丼,4,1492,3,,,,,,,,,,1,498,0,,,,,,,,,,,,,1,398,1,2,596,2,,,,,,,,,,,,,,,
2017年07月05日(水),水,7月,92851023,三元もち豚のソースカツ丼,4,1642,3,,,,1,498,0,,,,,,,1,448,1,,,,,,,,,,2,696,2,,,,,,,,,,,,,,,,,,
2017年07月06日(木),木,7月,92851023,三元もち豚のソースカツ丼,4,1642,3,,,,,,,,,,1,498,0,,,,,,,,,,1,448,1,1,398,1,1,298,1,,,,,,,,,,,,,,,
2017年07月07日(金),金,7月,92851023,三元もち豚のソースカツ丼,10,3380,8,1,498,0,,,,,,,,,,1,498,0,,,,,,,,,,,,,4,1192,4,2,596,2,2,596,2,,,,,,,,,
2017年07月08日(土),土,7月,92851023,三元もち豚のソースカツ丼,10,3334,8,,,,,,,,,,1,498,0,1,498,0,,,,,,,,,,1,298,1,1,298,1,,,,1,398,1,4,1145,4,1,199,1,,,
2017年07月09日(日),日,7月,92851023,三元もち豚のソースカツ丼,4,1742,3,,,,,,,,,,1,498,0,,,,,,,1,448,1,,,,2,796,2,,,,,,,,,,,,,,,,,,
2017年07月10日(月),月,7月,92851023,三元もち豚のソースカツ丼,4,1492,4,,,,,,,,,,,,,,,,2,896,2,,,,,,,2,596,2,,,,,,,,,,,,,,,,,,
2017年07月11日(火),火,7月,92851023,三元もち豚のソースカツ丼,4,1542,3,,,,,,,,,,1,498,0,,,,,,,1,448,1,,,,,,,,,,2,596,2,,,,,,,,,,,,
2017年07月12日(水),水,7月,92851023,三元もち豚のソースカツ丼,4,1292,4,,,,,,,,,,,,,,,,,,,,,,,,,2,696,2,2,596,2,,,,,,,,,,,,,,,
2017年07月13日(木),木,7月,92851023,三元もち豚のソースカツ丼,4,1592,2,,,,,,,,,,2,996,0,,,,,,,,,,,,,,,,,,,2,596,2,,,,,,,,,,,,
2017年07月14日(金),金,7月,92851023,三元もち豚のソースカツ丼,4,1642,3,,,,,,,,,,1,498,0,,,,,,,1,448,1,,,,1,398,1,,,,,,,1,298,1,,,,,,,,,
2017年07月15日(土),土,7月,92851023,三元もち豚のソースカツ丼,4,1542,3,,,,,,,1,498,0,,,,2,696,2,1,348,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017年07月16日(日),日,7月,92851023,三元もち豚のソースカツ丼,4,1392,3,,,,,,,,,,1,498,0,,,,,,,,,,,,,2,596,2,1,298,1,,,,,,,,,,,,,,,
2017年07月17日(月),月,7月,92851023,三元もち豚のソースカツ丼,10,4033,5,,,,,,,3,1494,0,,,,1,498,0,,,,,,,,,,,,,,,,1,498,0,2,796,2,1,249,1,2,498,2,,,
2017年07月18日(火),火,7月,92851023,三元もち豚のソースカツ丼,4,1342,4,,,,,,,,,,,,,,,,,,,1,448,1,,,,,,,3,894,3,,,,,,,,,,,,,,,
2017年07月19日(水),水,7月,92851023,三元もち豚のソースカツ丼,4,1792,2,,,,,,,,,,2,996,0,,,,,,,,,,,,,2,796,2,,,,,,,,,,,,,,,,,,
2017年07月20日(木),木,7月,92851023,三元もち豚のソースカツ丼,8,2534,8,,,,,,,,,,,,,,,,,,,,,,,,,2,746,2,4,1192,4,2,596,2,,,,,,,,,,,,
2017年07月21日(金),金,7月,92851023,三元もち豚のソースカツ丼,6,2638,4,,,,,,,1,498,0,1,498,0,,,,,,,,,,1,448,1,3,1194,3,,,,,,,,,,,,,,,,,,
2017年07月22日(土),土,7月,92851023,三元もち豚のソースカツ丼,6,2188,4,,,,,,,,,,1,498,0,,,,1,498,0,,,,,,,,,,3,894,3,1,298,1,,,,,,,,,,,,
2017年07月23日(日),日,7月,92851023,三元もち豚のソースカツ丼,5,2390,1,,,,1,498,0,,,,1,498,0,1,498,0,1,498,0,,,,,,,1,398,1,,,,,,,,,,,,,,,,,,
2017年07月24日(月),月,7月,92851023,三元もち豚のソースカツ丼,6,2039,4,,,,,,,1,498,0,,,,1,498,0,,,,,,,,,,,,,2,596,2,,,,1,298,1,,,,,,,,,
2017年07月26日(水),水,7月,92851023,三元もち豚のソースカツ丼,6,2388,4,,,,1,498,0,1,498,0,,,,,,,,,,,,,,,,2,796,2,1,298,1,1,298,1,,,,,,,,,,,,
2017年07月27日(木),木,7月,92851023,三元もち豚のソースカツ丼,6,2538,3,,,,,,,,,,1,498,0,,,,1,498,0,1,498,0,1,448,1,2,596,2,,,,,,,,,,,,,,,,,,
2017年07月28日(金),金,7月,92851023,三元もち豚のソースカツ丼,4,1942,1,,,,1,498,0,2,996,0,,,,,,,1,448,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017年07月29日(土),土,7月,92851023,三元もち豚のソースカツ丼,6,1988,5,,,,,,,1,498,0,,,,,,,,,,,,,,,,1,298,1,1,298,1,3,894,3,,,,,,,,,,,,
2017年07月30日(日),日,7月,92851023,三元もち豚のソースカツ丼,5,1690,4,,,,,,,,,,1,498,0,,,,,,,,,,,,,2,596,2,2,596,2,,,,,,,,,,,,,,,
2017年07月31日(月),月,7月,92851023,三元もち豚のソースカツ丼,6,1939,5,,,,,,,,,,1,498,0,,,,,,,,,,,,,1,298,1,,,,1,298,1,1,298,1,1,249,1,1,298,1,,,
2017年08月01日(火),火,8月,92851023,三元豚のソースカツ丼,6,1988,5,,,,,,,1,498,0,,,,,,,,,,,,,,,,,,,3,894,3,2,596,2,,,,,,,,,,,,
2017年08月02日(水),水,8月,92851023,三元豚のソースカツ丼,6,2288,5,,,,,,,,,,1,498,0,,,,1,448,1,1,448,1,,,,,,,3,894,3,,,,,,,,,,,,,,,
2017年08月03日(木),木,8月,92851023,三元豚のソースカツ丼,6,2238,5,,,,,,,,,,,,,1,498,0,,,,,,,1,448,1,1,398,1,3,894,3,,,,,,,,,,,,,,,
2017年08月04日(金),金,8月,92851023,三元豚のソースカツ丼,6,1888,6,,,,,,,,,,,,,,,,,,,,,,,,,1,398,1,3,894,3,2,596,2,,,,,,,,,,,,
2017年08月05日(土),土,8月,92851023,三元豚のソースカツ丼,7,2636,5,,,,,,,,,,,,,2,996,0,1,448,1,,,,,,,,,,4,1192,4,,,,,,,,,,,,,,,
2017年08月07日(月),月,8月,92851023,三元豚のソースカツ丼,10,4230,6,,,,2,996,0,,,,1,498,0,1,498,0,1,448,1,,,,,,,,,,,,,3,1094,3,2,696,2,,,,,,,,,
2017年08月08日(火),火,8月,92851023,三元豚のソースカツ丼,13,4526,13,,,,,,,,,,,,,,,,,,,,,,2,846,2,,,,5,1790,5,2,696,2,2,696,2,2,498,2,,,,,,
2017年08月09日(水),水,8月,92851023,三元豚のソースカツ丼,6,2288,5,,,,1,498,0,,,,,,,1,448,1,1,448,1,,,,,,,,,,2,596,2,1,298,1,,,,,,,,,,,,
2017年08月10日(木),木,8月,92851023,三元豚のソースカツ丼,6,2838,2,,,,2,996,0,1,498,0,,,,1,498,0,,,,1,448,1,,,,1,398,1,,,,,,,,,,,,,,,,,,
2017年08月11日(金),金,8月,92851023,三元豚のソースカツ丼,7,3286,2,,,,,,,2,996,0,2,996,0,1,498,0,,,,,,,,,,1,398,1,1,398,1,,,,,,,,,,,,,,,
2017年08月12日(土),土,8月,92851023,三元豚のソースカツ丼,8,3634,4,,,,,,,3,1494,0,1,498,0,,,,1,448,1,,,,,,,3,1194,3,,,,,,,,,,,,,,,,,,
2017年08月15日(火),火,8月,92851023,三元豚のソースカツ丼,8,2984,5,,,,,,,,,,2,996,0,1,498,0,,,,,,,,,,,,,4,1192,4,1,298,1,,,,,,,,,,,,
2017年08月16日(水),水,8月,92851023,三元豚のソースカツ丼,6,2592,4,,,,,,,,,,1,480,0,1,480,0,,,,1,432,1,3,1200,3,,,,,,,,,,,,,,,,,,,,,
2017年08月17日(木),木,8月,92851023,三元豚のソースカツ丼,6,2688,3,,,,2,960,0,,,,1,480,0,,,,1,432,1,,,,2,816,2,,,,,,,,,,,,,,,,,,,,,
2017年08月18日(金),金,8月,92851023,三元豚のソースカツ丼,6,2400,5,,,,,,,,,,,,,1,480,0,1,432,1,,,,2,816,2,1,384,1,1,288,1,,,,,,,,,,,,,,,
2017年08月19日(土),土,8月,92851023,三元豚のソースカツ丼,13,4425,12,,,,1,498,0,,,,,,,,,,,,,,,,,,,4,1592,4,2,596,2,5,1490,5,,,,1,249,1,,,,,,
2017年08月20日(日),日,8月,92851023,三元豚のソースカツ丼,6,2988,0,,,,,,,4,1992,0,2,996,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017年08月21日(月),月,8月,92851023,三元豚のソースカツ丼,6,1988,5,,,,,,,,,,1,498,0,,,,,,,,,,,,,,,,2,596,2,3,894,3,,,,,,,,,,,,
2017年08月22日(火),火,8月,92851023,三元豚のソースカツ丼,6,2588,2,,,,1,498,0,1,498,0,2,996,0,,,,,,,,,,,,,,,,2,596,2,,,,,,,,,,,,,,,
2017年08月23日(水),水,8月,92851023,三元豚のソースカツ丼,3,1444,1,,,,,,,1,498,0,,,,1,498,0,,,,1,448,1,,,,,,,,,,,,,,,,,,,,,,,,
2017年08月24日(木),木,8月,92851023,三元豚のソースカツ丼,6,2538,3,,,,,,,,,,2,996,0,1,498,0,,,,1,448,1,,,,,,,1,298,1,1,298,1,,,,,,,,,,,,
2017年08月25日(金),金,8月,92851023,三元豚のソースカツ丼,6,2188,4,,,,1,498,0,1,498,0,,,,,,,,,,,,,,,,1,298,1,2,596,2,1,298,1,,,,,,,,,,,,
2017年08月26日(土),土,8月,92851023,三元豚のソースカツ丼,6,2288,5,,,,,,,,,,,,,,,,,,,1,498,0,,,,,,,,,,1,398,1,3,1044,3,1,348,1,,,,,,
2017年08月27日(日),日,8月,92851023,三元豚のソースカツ丼,6,2488,3,,,,1,498,0,,,,2,996,0,,,,,,,,,,1,398,1,,,,2,596,2,,,,,,,,,,,,,,,
2017年08月28日(月),月,8月,92851023,三元豚のソースカツ丼,3,1444,1,,,,,,,,,,,,,2,996,0,,,,1,448,1,,,,,,,,,,,,,,,,,,,,,,,,
2017年08月29日(火),火,8月,92851023,三元豚のソースカツ丼,6,2188,4,,,,,,,1,498,0,,,,,,,1,498,0,,,,,,,,,,,,,4,1192,4,,,,,,,,,,,,
2017年08月30日(水),水,8月,92851023,三元豚のソースカツ丼,12,5376,5,,,,2,996,0,2,996,0,,,,,,,,,,,,,2,996,0,2,896,1,1,298,1,3,1194,3,,,,,,,,,,,,
2017年08月31日(木),木,8月,92851023,三元豚のソースカツ丼,6,2188,4,,,,,,,,,,1,498,0,1,498,0,,,,,,,,,,,,,,,,4,1192,4,,,,,,,,,,,,
2017年09月01日(金),金,9月,92851023,三元豚のソースカツ丼,6,2088,6,,,,,,,,,,,,,,,,,,,2,896,2,,,,,,,,,,3,894,3,1,298,1,,,,,,,,,
2017年09月02日(土),土,9月,92851023,三元豚のソースカツ丼,6,1788,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,596,2,1,298,1,3,894,3,,,,,,,,,
2017年09月03日(日),日,9月,92851023,三元豚のソースカツ丼,6,2488,4,,,,,,,,,,2,996,0,2,896,2,,,,,,,,,,,,,1,298,1,1,298,1,,,,,,,,,,,,
2017年09月04日(月),月,9月,92851023,三元豚のソースカツ丼,6,1888,6,,,,,,,,,,,,,,,,,,,,,,,,,2,696,2,1,298,1,3,894,3,,,,,,,,,,,,
2017年09月05日(火),火,9月,92851023,三元豚のソースカツ丼,6,2288,4,,,,,,,,,,2,996,0,,,,,,,,,,1,398,1,1,298,1,1,298,1,1,298,1,,,,,,,,,,,,
2017年09月06日(水),水,9月,92851023,三元豚のソースカツ丼,6,1988,5,,,,,,,,,,1,498,0,,,,,,,,,,,,,4,1192,4,1,298,1,,,,,,,,,,,,,,,
2017年09月07日(木),木,9月,92851023,三元豚のソースカツ丼,6,2188,4,,,,1,498,0,,,,,,,1,498,0,,,,,,,,,,,,,2,596,2,1,298,1,1,298,1,,,,,,,,,
2017年09月08日(金),金,9月,92851023,三元豚のソースカツ丼,6,2138,5,,,,,,,,,,,,,1,498,0,,,,1,448,1,,,,1,298,1,3,894,3,,,,,,,,,,,,,,,
2017年09月09日(土),土,9月,92851023,三元豚のソースカツ丼,6,2188,4,,,,,,,1,498,0,1,498,0,,,,,,,,,,,,,2,596,2,2,596,2,,,,,,,,,,,,,,,
2017年09月10日(日),日,9月,92851023,三元豚のソースカツ丼,6,2588,2,2,996,0,,,,,,,2,996,0,,,,,,,,,,,,,1,298,1,1,298,1,,,,,,,,,,,,,,,
2017年09月11日(月),月,9月,92851023,三元豚のソースカツ丼,6,1739,6,,,,,,,,,,,,,,,,,,,,,,,,,2,596,2,,,,2,596,2,1,298,1,,,,1,249,1,,,
2017年09月12日(火),火,9月,92851023,三元豚のソースカツ丼,6,1988,5,,,,,,,,,,,,,1,498,0,,,,,,,,,,2,596,2,2,596,2,1,298,1,,,,,,,,,,,,
2017年09月13日(水),水,9月,92851023,三元豚のソースカツ丼,6,2138,5,,,,,,,,,,1,498,0,,,,,,,1,448,1,,,,,,,2,596,2,2,596,2,,,,,,,,,,,,
2017年09月14日(木),木,9月,92851023,三元豚のソースカツ丼,6,1788,6,,,,,,,,,,,,,,,,,,,,,,1,298,1,4,1192,4,1,298,1,,,,,,,,,,,,,,,
2017年09月15日(金),金,9月,92851023,三元豚のソースカツ丼,6,2588,2,,,,,,,3,1494,0,,,,1,498,0,,,,,,,,,,1,298,1,1,298,1,,,,,,,,,,,,,,,
2017年09月16日(土),土,9月,92851023,三元豚のソースカツ丼,6,2188,4,,,,,,,2,996,0,,,,,,,,,,,,,,,,2,596,2,2,596,2,,,,,,,,,,,,,,,
2017年09月17日(日),日,9月,92851023,三元豚のソースカツ丼,5,1990,4,,,,,,,1,498,0,,,,2,896,2,,,,,,,,,,2,596,2,,,,,,,,,,,,,,,,,,
2017年09月18日(月),月,9月,92851023,三元豚のソースカツ丼,6,2489,3,,,,,,,3,1494,0,,,,,,,,,,,,,,,,,,,,,,2,796,2,,,,,,,1,199,1,,,
2017年09月19日(火),火,9月,92851023,三元豚のソースカツ丼,6,2389,5,,,,,,,,,,1,498,0,,,,1,448,1,,,,,,,,,,2,796,2,1,398,1,,,,,,,1,249,1,,,
2017年09月20日(水),水,9月,92851023,三元豚のソースカツ丼,5,2240,2,,,,,,,,,,3,1494,0,,,,,,,1,448,1,,,,,,,1,298,1,,,,,,,,,,,,,,,
2017年09月21日(木),木,9月,92851023,三元豚のソースカツ丼,12,3682,10,,,,,,,,,,2,996,0,,,,,,,,,,,,,1,298,1,2,596,2,1,298,1,,,,2,498,2,4,996,4,,,
2017年09月22日(金),金,9月,92851023,三元豚のソースカツ丼,14,5040,13,,,,,,,,,,,,,,,,,,,1,480,0,1,432,1,3,864,3,3,960,3,2,768,2,3,1152,3,1,384,1,,,,,,
2017年09月23日(土),土,9月,92851023,三元豚のソースカツ丼,12,5040,6,3,1440,0,,,,,,,3,1440,0,,,,,,,,,,,,,,,,,,,2,768,2,3,1152,3,1,240,1,,,,,,
2017年09月24日(日),日,9月,92851023,三元豚のソースカツ丼,6,2880,0,,,,2,960,0,1,480,0,2,960,0,1,480,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017年09月25日(月),月,9月,92851023,三元豚のソースカツ丼,10,3780,6,1,498,0,,,,2,996,0,1,498,0,,,,,,,,,,,,,1,298,1,4,1192,4,1,298,1,,,,,,,,,,,,
2017年09月26日(火),火,9月,92851023,三元豚のソースカツ丼,6,2988,0,,,,1,498,0,,,,5,2490,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017年09月27日(水),水,9月,92851023,三元豚のソースカツ丼,6,1788,6,,,,,,,,,,,,,,,,,,,,,,,,,2,596,2,3,894,3,1,298,1,,,,,,,,,,,,
2017年09月28日(木),木,9月,92851023,三元豚のソースカツ丼,12,4330,9,,,,,,,2,996,0,,,,2,946,1,,,,,,,,,,2,696,2,,,,,,,2,796,2,2,498,2,2,398,2,,,
2017年09月29日(金),金,9月,92851023,三元豚のソースカツ丼,6,2138,5,,,,,,,,,,,,,1,498,0,1,448,1,,,,,,,2,596,2,2,596,2,,,,,,,,,,,,,,,
2017年09月30日(土),土,9月,92851023,三元豚のソースカツ丼,6,2588,2,,,,1,498,0,2,996,0,,,,1,498,0,,,,,,,,,,1,298,1,1,298,1,,,,,,,,,,,,,,,
2017年10月01日(日),日,10月,92851023,三元豚のソースカツ丼,7,2786,4,,,,2,996,0,1,498,0,,,,,,,,,,,,,1,298,1,2,596,2,1,398,1,,,,,,,,,,,,,,,
2017年10月02日(月),月,10月,92851023,三元豚のソースカツ丼,6,1739,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,298,1,4,1192,4,,,,1,249,1,,,,,,
2017年10月03日(火),火,10月,92851023,三元豚のソースカツ丼,6,2488,3,,,,,,,2,996,0,1,498,0,,,,,,,,,,,,,1,398,1,,,,2,596,2,,,,,,,,,,,,
2017年10月04日(水),水,10月,92851023,三元豚のソースカツ丼,6,2488,3,,,,2,996,0,,,,,,,1,498,0,,,,,,,,,,1,398,1,2,596,2,,,,,,,,,,,,,,,
2017年10月05日(木),木,10月,92851023,三元豚のソースカツ丼,6,2388,3,,,,,,,2,996,0,1,498,0,,,,,,,,,,,,,1,298,1,2,596,2,,,,,,,,,,,,,,,
2017年10月06日(金),金,10月,92851023,三元豚のソースカツ丼,6,1788,6,,,,,,,,,,,,,,,,,,,,,,,,,1,298,1,3,894,3,2,596,2,,,,,,,,,,,,
2017年10月07日(土),土,10月,92851023,三元豚のソースカツ丼,6,2188,6,,,,,,,,,,,,,2,896,2,,,,,,,1,398,1,2,596,2,1,298,1,,,,,,,,,,,,,,,
2017年10月08日(日),日,10月,92851023,三元豚のソースカツ丼,6,2388,4,1,498,0,1,498,0,,,,,,,,,,,,,,,,2,796,2,1,298,1,1,298,1,,,,,,,,,,,,,,,
2017年10月09日(月),月,10月,92851023,三元豚のソースカツ丼,5,1640,5,,,,,,,,,,,,,,,,1,448,1,,,,,,,1,298,1,3,894,3,,,,,,,,,,,,,,,
2017年10月10日(火),火,10月,92851023,三元豚のソースカツ丼,6,2138,5,,,,,,,1,498,0,,,,,,,,,,,,,,,,3,1044,3,2,596,2,,,,,,,,,,,,,,,
2017年10月11日(水),水,10月,92851023,三元豚のソースカツ丼,6,2488,4,,,,,,,2,996,0,,,,,,,2,896,2,,,,,,,,,,2,596,2,,,,,,,,,,,,,,,
2017年10月12日(木),木,10月,92851023,三元豚のソースカツ丼,6,1988,5,,,,,,,,,,,,,1,498,0,,,,,,,,,,1,298,1,1,298,1,2,596,2,1,298,1,,,,,,,,,
2017年10月13日(金),金,10月,92851023,三元豚のソースカツ重,14,5424,7,,,,,,,2,960,0,2,960,0,,,,,,,,,,,,,3,1056,2,,,,2,960,0,2,768,2,2,480,2,1,240,1,,,
2017年10月14日(土),土,10月,92851023,三元豚のソースカツ重,12,4272,9,,,,,,,,,,1,480,0,2,864,2,,,,,,,,,,2,768,1,2,576,2,1,480,0,1,384,1,3,720,3,,,,,,
2017年10月15日(日),日,10月,92851023,三元豚のソースカツ重,5,1632,4,,,,,,,,,,1,480,0,,,,,,,,,,,,,4,1152,4,,,,,,,,,,,,,,,,,,
2017年10月16日(月),月,10月,92851023,三元豚のソースカツ重,6,1988,5,,,,,,,,,,,,,1,498,0,,,,,,,,,,,,,4,1192,4,1,298,1,,,,,,,,,,,,
2017年10月17日(火),火,10月,92851023,三元豚のソースカツ重,6,2338,4,,,,,,,2,996,0,,,,,,,1,448,1,,,,,,,1,298,1,1,298,1,1,298,1,,,,,,,,,,,,
2017年10月18日(水),水,10月,92851023,三元豚のソースカツ重,8,2384,8,,,,,,,,,,,,,,,,,,,,,,,,,4,1192,4,4,1192,4,,,,,,,,,,,,,,,
2017年10月19日(木),木,10月,92851023,三元豚のソースカツ重,6,2138,6,,,,,,,,,,,,,,,,,,,1,448,1,,,,2,796,2,2,596,2,1,298,1,,,,,,,,,,,,
2017年10月20日(金),金,10月,92851023,三元豚のソースカツ重,6,2488,3,,,,,,,1,498,0,2,996,0,,,,,,,,,,,,,1,398,1,2,596,2,,,,,,,,,,,,,,,
2017年10月21日(土),土,10月,92851023,三元豚のソースカツ重,6,2439,4,,,,,,,,,,1,498,0,,,,1,498,0,,,,,,,1,398,1,2,796,2,,,,,,,1,249,1,,,,,,
2017年10月22日(日),日,10月,92851023,三元豚のソースカツ重,8,3784,3,1,498,0,,,,1,498,0,3,1494,0,,,,1,448,1,,,,2,846,2,,,,,,,,,,,,,,,,,,,,,
2017年10月23日(月),月,10月,92851023,三元豚のソースカツ重,6,2388,3,,,,,,,1,498,0,1,498,0,1,498,0,,,,,,,,,,1,298,1,,,,2,596,2,,,,,,,,,,,,
2017年10月24日(火),火,10月,92851023,三元豚のソースカツ重,6,1988,5,,,,,,,,,,1,498,0,,,,,,,,,,,,,,,,2,596,2,3,894,3,,,,,,,,,,,,
2017年10月25日(水),水,10月,92851023,三元豚のソースカツ重,6,2088,6,,,,,,,,,,,,,,,,1,448,1,1,448,1,2,596,2,2,596,2,,,,,,,,,,,,,,,,,,
2017年10月26日(木),木,10月,92851023,三元豚のソースカツ重,6,1972,5,,,,,,,,,,,,,1,480,0,1,448,1,,,,,,,1,298,1,1,298,1,,,,,,,,,,1,249,1,1,199,1
2017年10月27日(金),金,10月,92851023,三元豚のソースカツ重,6,1988,5,,,,,,,,,,1,498,0,,,,,,,,,,,,,2,596,2,1,298,1,2,596,2,,,,,,,,,,,,
2017年10月28日(土),土,10月,92851023,三元豚のソースカツ重,6,2238,6,,,,,,,,,,,,,2,896,2,1,448,1,,,,,,,2,596,2,1,298,1,,,,,,,,,,,,,,,
2017年10月29日(日),日,10月,92851023,三元豚のソースカツ重,6,2338,4,,,,,,,,,,1,498,0,1,498,0,1,448,1,,,,,,,,,,3,894,3,,,,,,,,,,,,,,,
2017年10月30日(月),月,10月,92851023,三元豚のソースカツ重,6,2388,3,,,,,,,1,498,0,1,498,0,,,,1,498,0,,,,,,,1,298,1,2,596,2,,,,,,,,,,,,,,,
2017年10月31日(火),火,10月,92851023,三元豚のソースカツ重,6,2288,5,,,,,,,1,498,0,,,,,,,1,448,1,,,,2,746,2,1,298,1,1,298,1,,,,,,,,,,,,,,,
2017年11月01日(水),水,11月,92851023,三元豚のソースカツ重,6,2188,4,,,,,,,1,498,0,1,498,0,,,,,,,,,,,,,3,894,3,1,298,1,,,,,,,,,,,,,,,
2017年11月02日(木),木,11月,92851023,三元豚のソースカツ重,6,1938,6,,,,,,,,,,,,,,,,,,,,,,1,448,1,1,298,1,,,,3,894,3,1,298,1,,,,,,,,,
2017年11月03日(金),金,11月,92851023,三元豚のソースカツ重,6,1938,6,,,,,,,,,,,,,,,,,,,1,448,1,,,,3,894,3,2,596,2,,,,,,,,,,,,,,,
2017年11月04日(土),土,11月,92851023,三元豚のソースカツ重,6,1988,5,,,,,,,,,,1,498,0,,,,,,,,,,,,,1,298,1,4,1192,4,,,,,,,,,,,,,,,
2017年11月05日(日),日,11月,92851023,三元豚のソースカツ重,9,3432,7,,,,,,,,,,1,498,0,,,,1,448,1,,,,1,498,0,2,596,2,2,596,2,,,,2,796,2,,,,,,,,,
2017年11月06日(月),月,11月,92851023,三元豚のソースカツ重,6,1988,5,,,,,,,,,,1,498,0,,,,,,,,,,,,,2,596,2,,,,3,894,3,,,,,,,,,,,,
2017年11月07日(火),火,11月,92851023,三元豚のソースカツ重,14,5076,10,,,,,,,2,996,0,,,,1,498,0,,,,,,,,,,2,596,2,1,298,1,1,498,0,3,1194,3,4,996,4,,,,,,
2017年11月08日(水),水,11月,92851023,三元豚のソースカツ重,12,4081,9,,,,,,,,,,2,996,0,,,,2,896,2,,,,,,,1,298,1,2,796,1,,,,,,,1,249,1,4,846,4,,,
2017年11月09日(木),木,11月,92851023,三元豚のソースカツ重,6,1938,6,,,,,,,,,,,,,1,448,1,,,,,,,,,,1,298,1,3,894,3,1,298,1,,,,,,,,,,,,
2017年11月10日(金),金,11月,92851023,三元豚のソースカツ重,6,2138,5,,,,,,,,,,1,498,0,,,,,,,1,448,1,2,596,2,,,,2,596,2,,,,,,,,,,,,,,,
2017年11月11日(土),土,11月,92851023,三元豚のソースカツ重,6,1988,5,,,,,,,,,,,,,1,498,0,,,,,,,,,,1,298,1,3,894,3,1,298,1,,,,,,,,,,,,
2017年11月12日(日),日,11月,92851023,三元豚のソースカツ重,8,3184,6,,,,,,,2,996,0,,,,,,,,,,1,448,1,,,,2,696,2,1,348,1,2,696,2,,,,,,,,,,,,
2017年11月13日(月),月,11月,92851023,三元豚のソースカツ重,6,2089,5,1,498,0,,,,,,,,,,,,,,,,1,448,1,,,,,,,1,298,1,2,596,2,,,,1,249,1,,,,,,
2017年11月14日(火),火,11月,92851023,三元豚のソースカツ重,6,2388,3,,,,1,498,0,2,996,0,,,,,,,,,,,,,,,,2,596,2,1,298,1,,,,,,,,,,,,,,,
2017年11月15日(水),水,11月,92851023,三元豚のソースカツ重,6,2088,5,,,,1,498,0,,,,,,,,,,,,,,,,,,,1,398,1,2,596,2,2,596,2,,,,,,,,,,,,
2017年11月16日(木),木,11月,92851023,三元豚のソースカツ重,6,2338,6,,,,,,,,,,,,,1,448,1,2,896,2,,,,1,398,1,,,,,,,1,298,1,1,298,1,,,,,,,,,
2017年11月17日(金),金,11月,92851023,三元豚のソースカツ重,6,1788,6,,,,,,,,,,,,,,,,,,,,,,,,,6,1788,6,,,,,,,,,,,,,,,,,,
