date,Total precipitation(mm),Temperature(℃),Snowfall(cm),Snow accumulation(cm)
2017年12月30日9時,--,0.9,--,14
2017年12月30日10時,--,2.2,--,14
2017年12月30日11時,0.0,1.9,--,14
2017年12月30日12時,0.0,2.2,--,14
2017年12月30日13時,0.0,2.0,--,13
2017年12月30日14時,0.0,1.7,--,12
2017年12月30日15時,0.0,2.3,--,11
2017年12月30日16時,0.0,1.9,--,11
2017年12月30日17時,0.0,1.7,--,11
2017年12月30日18時,0.0,1.0,--,11
2017年12月30日19時,0.0,0.9,--,11
2017年12月30日20時,0.0,0.9,--,11
2017年12月30日21時,--,0.9,--,11
2017年12月30日22時,--,0.0,--,11
2017年12月30日23時,--,-0.7,--,11
