date,Total precipitation(mm),Temperature(℃),Snowfall(cm),Snow accumulation(cm)
2017年11月6日9時,0.0,2.1,--,--
2017年11月6日10時,0.0,4.5,--,--
2017年11月6日11時,--,8.4,--,--
2017年11月6日12時,--,11.0,--,--
2017年11月6日13時,--,13.2,--,--
2017年11月6日14時,--,15.1,--,--
2017年11月6日15時,--,16.3,--,--
2017年11月6日16時,--,15.1,--,--
2017年11月6日17時,--,11.3,--,--
2017年11月6日18時,--,9.0,--,--
2017年11月6日19時,--,8.2,--,--
2017年11月6日20時,--,7.0,--,--
2017年11月6日21時,--,5.8,--,--
2017年11月6日22時,--,5.1,--,--
2017年11月6日23時,--,4.8,--,--
