date,Total precipitation(mm),Temperature(℃),Snowfall(cm),Snow accumulation(cm)
2017年12月16日9時,0.0,-1.9,--,23
2017年12月16日10時,--,-1.2,--,23
2017年12月16日11時,--,-0.6,--,23
2017年12月16日12時,0.0,0.8,--,22
2017年12月16日13時,--,0.5,--,22
2017年12月16日14時,--,1.5,--,21
2017年12月16日15時,--,3.3,--,21
2017年12月16日16時,--,2.2,--,20
2017年12月16日17時,--,1.6,--,20
2017年12月16日18時,--,0.9,--,19
2017年12月16日19時,0.0,1.2,--,19
2017年12月16日20時,0.0,1.0,--,19
2017年12月16日21時,0.0,1.1,--,19
2017年12月16日22時,0.0,1.0,--,18
2017年12月16日23時,0.0,0.9,--,18
