date,Total precipitation(mm),Temperature(℃),Snowfall(cm),Snow accumulation(cm)
2016年12月18日9時,0.0,1.8,--,2
2016年12月18日10時,0.0,2.5,--,2
2016年12月18日11時,--,3.1,--,1
2016年12月18日12時,--,2.8,--,1
2016年12月18日13時,--,6.5,--,--
2016年12月18日14時,--,5.7,--,--
2016年12月18日15時,--,5.8,--,--
2016年12月18日16時,--,5.7,--,--
2016年12月18日17時,--,5.0,--,--
2016年12月18日18時,0.0,5.0,--,--
2016年12月18日19時,0.0,4.2,--,--
2016年12月18日20時,0.0,4.5,--,--
2016年12月18日21時,--,4.0,--,--
2016年12月18日22時,--,4.1,--,--
2016年12月18日23時,0.0,4.0,--,--
