date,Total precipitation(mm),Temperature(℃),Snowfall(cm),Snow accumulation(cm)
2017年11月12日9時,--,8.7,--,--
2017年11月12日10時,--,10.3,--,--
2017年11月12日11時,--,10.1,--,--
2017年11月12日12時,--,10.6,--,--
2017年11月12日13時,--,11.9,--,--
2017年11月12日14時,--,11.3,--,--
2017年11月12日15時,--,11.7,--,--
2017年11月12日16時,--,9.9,--,--
2017年11月12日17時,--,8.8,--,--
2017年11月12日18時,--,8.4,--,--
2017年11月12日19時,--,7.8,--,--
2017年11月12日20時,--,7.5,--,--
2017年11月12日21時,--,7.1,--,--
2017年11月12日22時,--,6.5,--,--
2017年11月12日23時,--,6.7,--,--
