date,Total precipitation(mm),Temperature(℃),Snowfall(cm),Snow accumulation(cm)
2017年1月19日9時,0.0,0.9,--,33
2017年1月19日10時,--,1.3,--,33
2017年1月19日11時,--,2.8,--,33
2017年1月19日12時,--,3.2,--,31
2017年1月19日13時,--,3.1,--,31
2017年1月19日14時,--,2.8,--,31
2017年1月19日15時,--,2.3,--,30
2017年1月19日16時,--,1.5,--,30
2017年1月19日17時,--,0.6,--,30
2017年1月19日18時,--,-1.2,--,30
2017年1月19日19時,--,-1.4,--,30
2017年1月19日20時,--,-1.1,--,30
2017年1月19日21時,--,-1.3,--,29
2017年1月19日22時,--,-2.5,1,30
2017年1月19日23時,0.0,-2.9,--,29
