date,Total precipitation(mm),Temperature(℃),Snowfall(cm),Snow accumulation(cm)
2016年12月13日9時,--,1.0,--,--
2016年12月13日10時,--,2.0,--,--
2016年12月13日11時,--,3.1,--,--
2016年12月13日12時,--,4.8,--,--
2016年12月13日13時,--,5.7,--,--
2016年12月13日14時,--,6.4,--,--
2016年12月13日15時,--,6.6,--,--
2016年12月13日16時,--,6.5,--,--
2016年12月13日17時,--,5.9,--,--
2016年12月13日18時,0.0,5.4,--,--
2016年12月13日19時,0.0,5.1,--,--
2016年12月13日20時,0.0,4.8,--,--
2016年12月13日21時,0.5,4.5,--,--
2016年12月13日22時,0.5,4.4,--,--
2016年12月13日23時,1.5,4.2,--,--
