date,Total precipitation(mm),Temperature(℃),Snowfall(cm),Snow accumulation(cm)
2017年3月28日9時,0.0,3.1,--,1
2017年3月28日10時,--,4.4,--,--
2017年3月28日11時,--,7.9,--,--
2017年3月28日12時,0.0,6.0,--,--
2017年3月28日13時,0.0,4.8,--,--
2017年3月28日14時,0.0,4.8,--,--
2017年3月28日15時,0.0,5.7,--,--
2017年3月28日16時,--,4.9,--,--
2017年3月28日17時,0.0,3.9,--,--
2017年3月28日18時,0.0,3.6,--,--
2017年3月28日19時,0.0,3.2,--,--
2017年3月28日20時,1.0,2.5,--,--
2017年3月28日21時,0.0,2.7,--,--
2017年3月28日22時,0.5,2.6,--,--
2017年3月28日23時,0.0,2.3,--,--
