date,Total precipitation(mm),Temperature(℃),Snowfall(cm),Snow accumulation(cm)
2016年12月21日9時,0.0,5.2,--,--
2016年12月21日10時,0.0,5.7,--,--
2016年12月21日11時,--,5.8,--,--
2016年12月21日12時,--,7.0,--,--
2016年12月21日13時,--,8.3,--,--
2016年12月21日14時,--,10.9,--,--
2016年12月21日15時,--,11.4,--,--
2016年12月21日16時,--,9.9,--,--
2016年12月21日17時,--,8.4,--,--
2016年12月21日18時,--,6.2,--,--
2016年12月21日19時,--,5.2,--,--
2016年12月21日20時,--,4.5,--,--
2016年12月21日21時,--,3.4,--,--
2016年12月21日22時,--,2.7,--,--
2016年12月21日23時,--,2.1,--,--
