date,Total precipitation(mm),Temperature(℃),Snowfall(cm),Snow accumulation(cm)
2016年12月19日9時,--,5.0,--,--
2016年12月19日10時,--,6.1,--,--
2016年12月19日11時,--,6.4,--,--
2016年12月19日12時,--,8.5,--,--
2016年12月19日13時,--,9.8,--,--
2016年12月19日14時,--,9.9,--,--
2016年12月19日15時,--,10.8,--,--
2016年12月19日16時,--,9.8,--,--
2016年12月19日17時,--,7.1,--,--
2016年12月19日18時,--,5.1,--,--
2016年12月19日19時,--,4.1,--,--
2016年12月19日20時,--,3.0,--,--
2016年12月19日21時,--,2.8,--,--
2016年12月19日22時,--,2.5,--,--
2016年12月19日23時,--,1.6,--,--
