date,Total precipitation(mm),Temperature(℃),Snowfall(cm),Snow accumulation(cm)
2016年4月30日9時,--,11.9,--,--
2016年4月30日10時,--,12.7,--,--
2016年4月30日11時,--,12.3,--,--
2016年4月30日12時,--,13.9,--,--
2016年4月30日13時,--,15.4,--,--
2016年4月30日14時,--,14.8,--,--
2016年4月30日15時,--,14.0,--,--
2016年4月30日16時,0.0,11.7,--,--
2016年4月30日17時,0.0,11.3,--,--
2016年4月30日18時,--,11.0,--,--
2016年4月30日19時,--,10.3,--,--
2016年4月30日20時,--,9.9,--,--
2016年4月30日21時,--,9.4,--,--
2016年4月30日22時,0.0,9.2,--,--
2016年4月30日23時,0.0,9.0,--,--
