date,Total precipitation(mm),Temperature(℃),Snowfall(cm),Snow accumulation(cm)
2017年1月23日9時,0.5,-2.0,1,29
2017年1月23日10時,2.0,-1.1,4,33
2017年1月23日11時,0.0,-0.7,--,33
2017年1月23日12時,1.5,-1.5,3,36
2017年1月23日13時,1.0,-0.6,--,36
2017年1月23日14時,0.0,-0.6,--,36
2017年1月23日15時,1.0,-1.6,1,37
2017年1月23日16時,0.0,-1.8,--,37
2017年1月23日17時,0.5,-2.4,2,39
2017年1月23日18時,1.0,-2.7,2,41
2017年1月23日19時,0.0,-2.4,--,41
2017年1月23日20時,0.0,-2.6,--,41
2017年1月23日21時,0.0,-2.6,--,41
2017年1月23日22時,0.0,-2.9,--,41
2017年1月23日23時,0.0,-4.4,--,40
