date,Total precipitation(mm),Temperature(℃),Snowfall(cm),Snow accumulation(cm)
2016年12月11日9時,--,1.8,--,2
2016年12月11日10時,--,3.1,--,--
2016年12月11日11時,0.0,2.4,--,--
2016年12月11日12時,0.0,3.3,--,--
2016年12月11日13時,--,4.0,--,--
2016年12月11日14時,--,3.9,--,--
2016年12月11日15時,0.0,3.5,--,--
2016年12月11日16時,--,1.9,--,--
2016年12月11日17時,0.0,1.2,--,--
2016年12月11日18時,0.0,1.0,--,--
2016年12月11日19時,0.0,1.1,--,--
2016年12月11日20時,--,0.8,--,--
2016年12月11日21時,0.0,1.2,--,--
2016年12月11日22時,--,1.1,--,--
2016年12月11日23時,0.0,1.0,--,--
