date,Total precipitation(mm),Temperature(℃),Snowfall(cm),Snow accumulation(cm)
2016年12月12日9時,--,1.8,--,--
2016年12月12日10時,--,4.4,--,--
2016年12月12日11時,--,5.1,--,--
2016年12月12日12時,--,5.7,--,--
2016年12月12日13時,--,6.3,--,--
2016年12月12日14時,--,5.8,--,--
2016年12月12日15時,--,5.6,--,--
2016年12月12日16時,--,4.9,--,--
2016年12月12日17時,--,2.1,--,--
2016年12月12日18時,--,1.3,--,--
2016年12月12日19時,--,0.4,--,--
2016年12月12日20時,--,-0.5,--,--
2016年12月12日21時,--,-1.1,--,--
2016年12月12日22時,--,-1.6,--,--
2016年12月12日23時,--,-1.0,--,--
