date,Total precipitation(mm),Temperature(℃),Snowfall(cm),Snow accumulation(cm)
2017年3月20日9時,0.0,8.0,--,--
2017年3月20日10時,--,9.5,--,--
2017年3月20日11時,--,10.8,--,--
2017年3月20日12時,--,11.1,--,--
2017年3月20日13時,--,11.3,--,--
2017年3月20日14時,--,11.7,--,--
2017年3月20日15時,--,12.1,--,--
2017年3月20日16時,--,11.4,--,--
2017年3月20日17時,--,10.2,--,--
2017年3月20日18時,--,8.9,--,--
2017年3月20日19時,--,6.9,--,--
2017年3月20日20時,--,4.9,--,--
2017年3月20日21時,--,4.2,--,--
2017年3月20日22時,--,3.5,--,--
2017年3月20日23時,--,3.5,--,--
