date,Total precipitation(mm),Temperature(℃),Snowfall(cm),Snow accumulation(cm)
2016年12月20日9時,--,4.2,--,--
2016年12月20日10時,--,6.0,--,--
2016年12月20日11時,--,6.9,--,--
2016年12月20日12時,--,8.9,--,--
2016年12月20日13時,0.0,9.0,--,--
2016年12月20日14時,0.0,8.5,--,--
2016年12月20日15時,0.5,7.7,--,--
2016年12月20日16時,0.5,7.1,--,--
2016年12月20日17時,0.5,7.1,--,--
2016年12月20日18時,0.0,7.3,--,--
2016年12月20日19時,--,6.9,--,--
2016年12月20日20時,--,6.6,--,--
2016年12月20日21時,--,6.7,--,--
2016年12月20日22時,--,6.6,--,--
2016年12月20日23時,0.0,6.5,--,--
