date,Total precipitation(mm),Temperature(℃),Snowfall(cm),Snow accumulation(cm)
2017年12月12日9時,9.0,-1.2,4,36
2017年12月12日10時,2.0,-0.8,3,39
2017年12月12日11時,1.5,-0.7,3,42
2017年12月12日12時,2.0,-0.9,3,45
2017年12月12日13時,1.5,-1.0,1,46
2017年12月12日14時,1.0,-0.9,2,48
2017年12月12日15時,1.0,-1.3,1,49
2017年12月12日16時,1.0,-1.2,1,50
2017年12月12日17時,1.0,-1.3,1,51
2017年12月12日18時,1.5,-1.2,2,53
2017年12月12日19時,1.5,-1.2,2,55
2017年12月12日20時,0.5,-0.9,--,55
2017年12月12日21時,0.0,-1.0,--,54
2017年12月12日22時,0.5,-0.8,--,54
2017年12月12日23時,0.0,-1.1,--,53
