date,Total precipitation(mm),Temperature(℃),Snowfall(cm),Snow accumulation(cm)
2017年4月18日9時,--,16.7,--,--
2017年4月18日10時,--,14.8,--,--
2017年4月18日11時,--,14.5,--,--
2017年4月18日12時,--,14.7,--,--
2017年4月18日13時,--,14.7,--,--
2017年4月18日14時,--,14.7,--,--
2017年4月18日15時,--,14.0,--,--
2017年4月18日16時,0.0,12.8,--,--
2017年4月18日17時,0.0,12.4,--,--
2017年4月18日18時,0.0,12.0,--,--
2017年4月18日19時,0.0,11.3,--,--
2017年4月18日20時,--,11.2,--,--
2017年4月18日21時,--,10.2,--,--
2017年4月18日22時,--,10.3,--,--
2017年4月18日23時,--,10.3,--,--
