date,Total precipitation(mm),Temperature(℃),Snowfall(cm),Snow accumulation(cm)
2017年12月29日9時,--,0.7,--,13
2017年12月29日10時,--,1.7,--,12
2017年12月29日11時,0.0,3.0,--,12
2017年12月29日12時,0.0,4.1,--,11
2017年12月29日13時,--,4.1,--,11
2017年12月29日14時,--,3.1,--,10
2017年12月29日15時,--,3.0,--,10
2017年12月29日16時,0.0,1.6,--,10
2017年12月29日17時,0.5,0.4,1,11
2017年12月29日18時,1.5,0.4,2,13
2017年12月29日19時,1.0,0.4,2,15
2017年12月29日20時,0.0,-0.1,--,15
2017年12月29日21時,0.0,0.1,--,15
2017年12月29日22時,0.0,-0.8,--,15
2017年12月29日23時,--,-0.4,--,15
