date,Total precipitation(mm),Temperature(℃),Snowfall(cm),Snow accumulation(cm)
2017年2月15日9時,0.0,0.4,--,31
2017年2月15日10時,0.0,0.6,2,33
2017年2月15日11時,0.5,0.6,1,34
2017年2月15日12時,0.0,1.2,--,33
2017年2月15日13時,0.5,1.5,--,32
2017年2月15日14時,0.0,1.8,--,31
2017年2月15日15時,0.0,2.2,--,31
2017年2月15日16時,0.0,2.1,--,30
2017年2月15日17時,0.0,1.8,--,30
2017年2月15日18時,0.0,1.8,--,30
2017年2月15日19時,--,2.2,--,30
2017年2月15日20時,--,1.6,--,30
2017年2月15日21時,--,1.3,--,30
2017年2月15日22時,--,-0.5,--,30
2017年2月15日23時,--,-0.2,--,30
