date,Total precipitation(mm),Temperature(℃),Snowfall(cm),Snow accumulation(cm)
2016年11月14日9時,--,4.9,--,--
2016年11月14日10時,--,5.6,--,--
2016年11月14日11時,--,7.6,--,--
2016年11月14日12時,--,9.5,--,--
2016年11月14日13時,--,11.0,--,--
2016年11月14日14時,--,12.5,--,--
2016年11月14日15時,--,13.5,--,--
2016年11月14日16時,--,11.6,--,--
2016年11月14日17時,--,11.2,--,--
2016年11月14日18時,--,10.9,--,--
2016年11月14日19時,--,9.9,--,--
2016年11月14日20時,--,10.3,--,--
2016年11月14日21時,--,10.2,--,--
2016年11月14日22時,0.0,10.4,--,--
2016年11月14日23時,0.0,10.0,--,--
