date,Total precipitation(mm),Temperature(℃),Snowfall(cm),Snow accumulation(cm)
2017年1月13日9時,0.5,0.0,--,49
2017年1月13日10時,0.0,0.3,--,48
2017年1月13日11時,0.0,0.3,--,47
2017年1月13日12時,0.0,0.1,--,45
2017年1月13日13時,0.5,-0.4,--,44
2017年1月13日14時,0.0,-0.1,--,43
2017年1月13日15時,0.0,-0.2,--,42
2017年1月13日16時,0.0,-0.8,--,41
2017年1月13日17時,0.0,-1.0,--,40
2017年1月13日18時,0.0,-1.7,--,40
2017年1月13日19時,0.5,-1.6,--,40
2017年1月13日20時,0.5,-1.9,1,41
2017年1月13日21時,0.0,-1.7,--,41
2017年1月13日22時,1.0,-2.2,1,42
2017年1月13日23時,0.0,-1.9,--,42
