date,Total precipitation(mm),Temperature(℃),Snowfall(cm),Snow accumulation(cm)
2017年2月19日9時,0.0,-1.0,--,26
2017年2月19日10時,0.0,0.5,--,26
2017年2月19日11時,0.0,-0.3,--,26
2017年2月19日12時,0.0,1.7,--,26
2017年2月19日13時,0.0,1.2,--,26
2017年2月19日14時,0.0,2.0,--,26
2017年2月19日15時,0.0,1.3,--,26
2017年2月19日16時,0.0,0.4,--,26
2017年2月19日17時,0.0,-0.6,--,26
2017年2月19日18時,0.0,-0.6,--,26
2017年2月19日19時,0.0,-1.6,--,26
2017年2月19日20時,--,-1.6,--,26
2017年2月19日21時,--,-2.5,--,26
2017年2月19日22時,--,-2.8,--,26
2017年2月19日23時,--,-2.9,--,26
