date,Total precipitation(mm),Temperature(℃),Snowfall(cm),Snow accumulation(cm)
2017年3月18日9時,--,7.0,--,--
2017年3月18日10時,--,8.2,--,--
2017年3月18日11時,--,10.0,--,--
2017年3月18日12時,--,10.9,--,--
2017年3月18日13時,--,9.8,--,--
2017年3月18日14時,--,10.0,--,--
2017年3月18日15時,--,10.7,--,--
2017年3月18日16時,--,9.7,--,--
2017年3月18日17時,--,8.6,--,--
2017年3月18日18時,0.0,5.5,--,--
2017年3月18日19時,0.0,4.1,--,--
2017年3月18日20時,--,4.5,--,--
2017年3月18日21時,--,3.1,--,--
2017年3月18日22時,--,3.0,--,--
2017年3月18日23時,--,2.3,--,--
