date,Total precipitation(mm),Temperature(℃),Snowfall(cm),Snow accumulation(cm)
2016年12月28日9時,0.0,1.1,--,12
2016年12月28日10時,0.0,0.2,--,11
2016年12月28日11時,0.5,0.9,--,11
2016年12月28日12時,0.0,1.1,--,9
2016年12月28日13時,0.0,1.9,--,8
2016年12月28日14時,0.0,2.1,--,6
2016年12月28日15時,0.0,1.8,--,6
2016年12月28日16時,0.0,0.7,--,5
2016年12月28日17時,--,0.1,--,5
2016年12月28日18時,--,-1.1,--,5
2016年12月28日19時,--,-0.2,--,5
2016年12月28日20時,--,0.0,--,5
2016年12月28日21時,--,-0.1,--,5
2016年12月28日22時,--,-0.6,--,5
2016年12月28日23時,--,-2.1,--,5
