date,Total precipitation(mm),Temperature(℃),Snowfall(cm),Snow accumulation(cm)
2017年12月15日9時,0.0,-1.2,--,31
2017年12月15日10時,0.0,-0.7,--,30
2017年12月15日11時,--,0.4,--,30
2017年12月15日12時,--,2.0,--,30
2017年12月15日13時,--,2.1,--,28
2017年12月15日14時,--,2.4,--,27
2017年12月15日15時,--,2.5,--,26
2017年12月15日16時,--,1.3,--,26
2017年12月15日17時,--,0.5,--,26
2017年12月15日18時,--,-0.6,--,26
2017年12月15日19時,--,-1.4,--,25
2017年12月15日20時,--,-1.7,--,25
2017年12月15日21時,--,-1.4,--,25
2017年12月15日22時,--,-1.2,--,25
2017年12月15日23時,--,-1.6,--,25
