date,Total precipitation(mm),Temperature(℃),Snowfall(cm),Snow accumulation(cm)
2017年4月21日9時,--,10.1,--,--
2017年4月21日10時,--,10.7,--,--
2017年4月21日11時,--,12.8,--,--
2017年4月21日12時,--,15.4,--,--
2017年4月21日13時,--,17.9,--,--
2017年4月21日14時,--,18.6,--,--
2017年4月21日15時,--,19.3,--,--
2017年4月21日16時,--,18.6,--,--
2017年4月21日17時,--,18.1,--,--
2017年4月21日18時,--,15.6,--,--
2017年4月21日19時,--,14.3,--,--
2017年4月21日20時,--,13.5,--,--
2017年4月21日21時,--,13.0,--,--
2017年4月21日22時,--,12.4,--,--
2017年4月21日23時,--,10.8,--,--
