date,Total precipitation(mm),Temperature(℃),Snowfall(cm),Snow accumulation(cm)
2016年12月10日9時,0.0,2.7,--,--
2016年12月10日10時,0.0,4.4,--,--
2016年12月10日11時,--,4.5,--,--
2016年12月10日12時,--,4.0,--,--
2016年12月10日13時,--,5.2,--,--
2016年12月10日14時,--,3.9,--,--
2016年12月10日15時,--,3.4,--,--
2016年12月10日16時,--,1.9,--,--
2016年12月10日17時,--,1.7,--,--
2016年12月10日18時,--,1.4,--,--
2016年12月10日19時,--,1.7,--,--
2016年12月10日20時,--,1.4,--,--
2016年12月10日21時,--,1.4,--,--
2016年12月10日22時,0.0,0.7,--,--
2016年12月10日23時,0.0,0.6,--,--
