date,Total precipitation(mm),Temperature(℃),Snowfall(cm),Snow accumulation(cm)
2016年4月17日9時,0.0,17.6,--,--
2016年4月17日10時,0.0,17.5,--,--
2016年4月17日11時,0.0,17.7,--,--
2016年4月17日12時,0.0,19.3,--,--
2016年4月17日13時,--,20.8,--,--
2016年4月17日14時,--,23.8,--,--
2016年4月17日15時,0.5,22.6,--,--
2016年4月17日16時,0.0,19.6,--,--
2016年4月17日17時,--,18.4,--,--
2016年4月17日18時,--,17.0,--,--
2016年4月17日19時,--,15.0,--,--
2016年4月17日20時,--,14.2,--,--
2016年4月17日21時,--,13.7,--,--
2016年4月17日22時,--,14.7,--,--
2016年4月17日23時,--,14.2,--,--
