date,Total precipitation(mm),Temperature(℃),Snowfall(cm),Snow accumulation(cm)
2017年1月25日9時,0.0,-1.5,--,34
2017年1月25日10時,0.0,-0.9,--,34
2017年1月25日11時,0.0,0.5,--,34
2017年1月25日12時,0.0,1.4,--,34
2017年1月25日13時,0.0,1.8,--,34
2017年1月25日14時,--,2.2,--,33
2017年1月25日15時,--,1.8,--,32
2017年1月25日16時,--,1.1,--,32
2017年1月25日17時,0.0,0.1,--,31
2017年1月25日18時,0.0,-0.2,--,31
2017年1月25日19時,--,-1.4,--,31
2017年1月25日20時,--,-0.7,--,31
2017年1月25日21時,0.0,-1.4,--,31
2017年1月25日22時,--,-2.3,--,31
2017年1月25日23時,--,-2.3,--,31
