date,Total precipitation(mm),Temperature(℃),Snowfall(cm),Snow accumulation(cm)
2017年2月14日9時,--,-1.7,--,33
2017年2月14日10時,0.0,-0.5,--,33
2017年2月14日11時,0.0,1.4,--,33
2017年2月14日12時,--,2.3,--,32
2017年2月14日13時,--,3.1,--,32
2017年2月14日14時,0.0,3.4,--,31
2017年2月14日15時,0.0,1.8,--,30
2017年2月14日16時,0.0,1.0,1,31
2017年2月14日17時,0.5,0.3,1,32
2017年2月14日18時,0.0,-0.2,--,32
2017年2月14日19時,--,-1.2,--,32
2017年2月14日20時,0.0,0.2,--,32
2017年2月14日21時,0.0,-0.3,--,32
2017年2月14日22時,--,-1.7,--,32
2017年2月14日23時,--,-1.8,--,31
