date,Total precipitation(mm),Temperature(℃),Snowfall(cm),Snow accumulation(cm)
2017年12月8日9時,0.0,1.7,--,--
2017年12月8日10時,--,3.4,--,--
2017年12月8日11時,--,3.6,--,--
2017年12月8日12時,--,3.5,--,--
2017年12月8日13時,0.0,3.5,--,--
2017年12月8日14時,0.0,3.5,--,--
2017年12月8日15時,0.0,3.5,--,--
2017年12月8日16時,0.0,2.5,--,--
2017年12月8日17時,0.0,1.6,--,--
2017年12月8日18時,0.0,1.5,--,--
2017年12月8日19時,0.0,2.0,--,--
2017年12月8日20時,--,1.8,--,--
2017年12月8日21時,--,1.7,--,--
2017年12月8日22時,--,1.8,--,--
2017年12月8日23時,0.0,1.8,--,--
