date,Total precipitation(mm),Temperature(℃),Snowfall(cm),Snow accumulation(cm)
2017年2月12日9時,0.0,2.0,--,41
2017年2月12日10時,0.0,2.1,--,40
2017年2月12日11時,0.0,3.3,--,39
2017年2月12日12時,0.0,3.4,--,37
2017年2月12日13時,0.5,1.0,--,37
2017年2月12日14時,0.5,2.1,--,37
2017年2月12日15時,0.0,1.3,--,36
2017年2月12日16時,1.5,0.4,2,38
2017年2月12日17時,1.5,0.4,2,40
2017年2月12日18時,0.0,0.7,--,40
2017年2月12日19時,--,0.2,--,40
2017年2月12日20時,--,-0.2,--,39
2017年2月12日21時,--,-0.5,--,39
2017年2月12日22時,--,0.1,--,39
2017年2月12日23時,--,-0.4,--,38
