date,Total precipitation(mm),Temperature(℃),Snowfall(cm),Snow accumulation(cm)
2016年3月30日9時,--,10.3,--,--
2016年3月30日10時,--,12.7,--,--
2016年3月30日11時,--,15.2,--,--
2016年3月30日12時,--,17.3,--,--
2016年3月30日13時,--,18.8,--,--
2016年3月30日14時,--,18.6,--,--
2016年3月30日15時,--,17.5,--,--
2016年3月30日16時,--,16.4,--,--
2016年3月30日17時,--,15.8,--,--
2016年3月30日18時,--,13.1,--,--
2016年3月30日19時,--,11.0,--,--
2016年3月30日20時,1.0,10.0,--,--
2016年3月30日21時,1.5,9.5,--,--
2016年3月30日22時,0.0,9.5,--,--
2016年3月30日23時,0.0,7.9,--,--
