date,Total precipitation(mm),Temperature(℃),Snowfall(cm),Snow accumulation(cm)
2017年2月13日9時,--,-2.1,--,36
2017年2月13日10時,--,0.1,--,36
2017年2月13日11時,--,2.3,--,35
2017年2月13日12時,0.0,2.7,--,35
2017年2月13日13時,0.0,3.0,--,34
2017年2月13日14時,0.0,2.2,--,33
2017年2月13日15時,0.0,1.6,--,33
2017年2月13日16時,0.0,1.5,--,33
2017年2月13日17時,0.0,0.8,--,33
2017年2月13日18時,0.0,0.1,--,33
2017年2月13日19時,0.0,0.1,--,33
2017年2月13日20時,0.0,0.2,--,33
2017年2月13日21時,0.0,-0.4,--,33
2017年2月13日22時,0.0,-0.8,--,33
2017年2月13日23時,0.0,-1.7,--,33
