date,Total precipitation(mm),Temperature(℃),Snowfall(cm),Snow accumulation(cm)
2016年12月17日9時,0.5,1.3,--,7
2016年12月17日10時,1.0,1.4,--,6
2016年12月17日11時,1.5,1.3,--,5
2016年12月17日12時,1.0,1.6,--,5
2016年12月17日13時,0.5,2.0,--,5
2016年12月17日14時,0.0,2.0,--,4
2016年12月17日15時,0.0,2.5,--,4
2016年12月17日16時,0.0,2.5,--,4
2016年12月17日17時,0.0,1.8,--,4
2016年12月17日18時,0.0,2.2,--,4
2016年12月17日19時,0.0,2.6,--,3
2016年12月17日20時,--,2.8,--,3
2016年12月17日21時,--,2.8,--,3
2016年12月17日22時,--,3.9,--,3
2016年12月17日23時,--,4.1,--,3
