date,Total precipitation(mm),Temperature(℃),Snowfall(cm),Snow accumulation(cm)
2016年3月17日9時,--,5.1,--,--
2016年3月17日10時,--,8.9,--,--
2016年3月17日11時,--,13.7,--,--
2016年3月17日12時,--,15.4,--,--
2016年3月17日13時,--,16.5,--,--
2016年3月17日14時,--,16.9,--,--
2016年3月17日15時,--,16.7,--,--
2016年3月17日16時,--,16.5,--,--
2016年3月17日17時,--,15.2,--,--
2016年3月17日18時,--,12.3,--,--
2016年3月17日19時,--,9.9,--,--
2016年3月17日20時,--,8.3,--,--
2016年3月17日21時,--,8.1,--,--
2016年3月17日22時,--,6.7,--,--
2016年3月17日23時,--,5.5,--,--
