date,Total precipitation(mm),Temperature(℃),Snowfall(cm),Snow accumulation(cm)
2016年11月15日9時,--,11.5,--,--
2016年11月15日10時,--,12.9,--,--
2016年11月15日11時,--,12.9,--,--
2016年11月15日12時,--,13.4,--,--
2016年11月15日13時,--,15.8,--,--
2016年11月15日14時,--,15.8,--,--
2016年11月15日15時,0.5,14.7,--,--
2016年11月15日16時,0.0,12.9,--,--
2016年11月15日17時,--,11.5,--,--
2016年11月15日18時,--,10.8,--,--
2016年11月15日19時,--,10.0,--,--
2016年11月15日20時,--,9.9,--,--
2016年11月15日21時,--,9.3,--,--
2016年11月15日22時,--,8.7,--,--
2016年11月15日23時,--,8.0,--,--
