date,Total precipitation(mm),Temperature(℃),Snowfall(cm),Snow accumulation(cm)
2017年1月17日9時,--,-4.5,--,43
2017年1月17日10時,0.0,-1.3,--,42
2017年1月17日11時,--,1.2,--,42
2017年1月17日12時,--,2.6,--,41
2017年1月17日13時,0.0,2.8,--,40
2017年1月17日14時,0.0,3.2,--,39
2017年1月17日15時,--,3.2,--,38
2017年1月17日16時,--,2.1,--,38
2017年1月17日17時,--,1.4,--,37
2017年1月17日18時,--,1.0,--,37
2017年1月17日19時,0.0,0.8,--,37
2017年1月17日20時,0.0,0.3,--,37
2017年1月17日21時,0.0,0.0,--,36
2017年1月17日22時,0.0,-0.3,--,36
2017年1月17日23時,0.0,-0.2,--,36
