date,Total precipitation(mm),Temperature(℃),Snowfall(cm),Snow accumulation(cm)
2016年1月21日9時,--,0.8,--,16
2016年1月21日10時,0.0,1.1,--,16
2016年1月21日11時,0.0,1.2,--,15
2016年1月21日12時,0.0,2.1,--,15
2016年1月21日13時,0.0,1.6,--,14
2016年1月21日14時,0.0,1.6,--,14
2016年1月21日15時,0.0,1.1,--,14
2016年1月21日16時,0.0,0.7,--,14
2016年1月21日17時,0.0,0.3,--,14
2016年1月21日18時,0.0,0.0,--,13
2016年1月21日19時,0.0,0.2,--,13
2016年1月21日20時,0.0,0.1,--,13
2016年1月21日21時,0.0,-0.2,--,13
2016年1月21日22時,0.0,-0.3,--,13
2016年1月21日23時,--,-0.5,--,13
