date,Total precipitation(mm),Temperature(℃),Snowfall(cm),Snow accumulation(cm)
2017年12月21日9時,0.0,0.6,--,13
2017年12月21日10時,--,1.8,--,13
2017年12月21日11時,--,2.4,--,12
2017年12月21日12時,--,2.5,--,12
2017年12月21日13時,--,2.6,--,12
2017年12月21日14時,--,2.9,--,11
2017年12月21日15時,--,3.1,--,11
2017年12月21日16時,--,2.1,--,11
2017年12月21日17時,--,1.2,--,11
2017年12月21日18時,--,0.7,--,11
2017年12月21日19時,--,-0.6,--,11
2017年12月21日20時,--,-0.1,--,11
2017年12月21日21時,0.0,-0.1,--,11
2017年12月21日22時,0.0,0.0,--,11
2017年12月21日23時,--,0.1,--,11
