date,Total precipitation(mm),Temperature(℃),Snowfall(cm),Snow accumulation(cm)
2017年2月18日9時,0.0,0.7,--,25
2017年2月18日10時,0.0,1.0,--,25
2017年2月18日11時,0.0,1.2,--,25
2017年2月18日12時,0.0,1.2,--,25
2017年2月18日13時,0.0,1.8,--,25
2017年2月18日14時,0.0,1.1,--,25
2017年2月18日15時,0.0,2.0,--,25
2017年2月18日16時,0.0,0.7,--,25
2017年2月18日17時,0.0,0.1,--,25
2017年2月18日18時,0.0,0.0,--,25
2017年2月18日19時,0.0,-0.2,--,25
2017年2月18日20時,--,-0.2,--,25
2017年2月18日21時,0.0,-0.5,--,25
2017年2月18日22時,0.0,-0.6,--,25
2017年2月18日23時,--,-0.8,--,25
