date,Total precipitation(mm),Temperature(℃),Snowfall(cm),Snow accumulation(cm)
2017年1月10日9時,--,3.6,--,--
2017年1月10日10時,--,4.4,--,--
2017年1月10日11時,--,4.9,--,--
2017年1月10日12時,--,6.0,--,--
2017年1月10日13時,--,7.8,--,--
2017年1月10日14時,--,8.8,--,--
2017年1月10日15時,--,9.6,--,--
2017年1月10日16時,--,8.4,--,--
2017年1月10日17時,1.5,3.7,--,--
2017年1月10日18時,0.5,3.4,--,--
2017年1月10日19時,0.5,3.1,--,--
2017年1月10日20時,0.0,2.7,--,--
2017年1月10日21時,0.5,2.9,--,--
2017年1月10日22時,1.5,1.1,--,--
2017年1月10日23時,0.0,0.9,--,--
