date,Total precipitation(mm),Temperature(℃),Snowfall(cm),Snow accumulation(cm)
2017年11月9日9時,--,11.8,--,--
2017年11月9日10時,--,11.8,--,--
2017年11月9日11時,--,11.0,--,--
2017年11月9日12時,--,12.5,--,--
2017年11月9日13時,--,12.1,--,--
2017年11月9日14時,--,12.5,--,--
2017年11月9日15時,--,12.1,--,--
2017年11月9日16時,--,11.3,--,--
2017年11月9日17時,0.0,9.8,--,--
2017年11月9日18時,--,9.4,--,--
2017年11月9日19時,--,9.1,--,--
2017年11月9日20時,--,9.1,--,--
2017年11月9日21時,--,7.9,--,--
2017年11月9日22時,--,8.7,--,--
2017年11月9日23時,--,8.3,--,--
