date,Total precipitation(mm),Temperature(℃),Snowfall(cm),Snow accumulation(cm)
2017年1月12日9時,0.5,0.0,--,23
2017年1月12日10時,0.5,0.1,--,23
2017年1月12日11時,0.0,0.3,--,23
2017年1月12日12時,0.5,0.5,--,20
2017年1月12日13時,0.0,0.1,--,20
2017年1月12日14時,1.5,-0.2,2,22
2017年1月12日15時,0.5,-0.1,--,22
2017年1月12日16時,1.0,-0.5,1,23
2017年1月12日17時,1.0,-0.5,3,26
2017年1月12日18時,1.5,-0.5,1,27
2017年1月12日19時,1.5,-0.5,4,31
2017年1月12日20時,1.5,-0.4,2,33
2017年1月12日21時,3.5,-0.5,5,38
2017年1月12日22時,4.0,-0.2,4,42
2017年1月12日23時,6.0,0.0,6,48
