date,Total precipitation(mm),Temperature(℃),Snowfall(cm),Snow accumulation(cm)
2017年12月17日9時,0.0,-0.7,--,18
2017年12月17日10時,0.5,-0.3,2,20
2017年12月17日11時,0.5,-0.7,2,22
2017年12月17日12時,0.5,0.1,--,22
2017年12月17日13時,0.0,-0.1,--,22
2017年12月17日14時,0.0,-0.6,--,22
2017年12月17日15時,0.5,-0.9,1,23
2017年12月17日16時,0.0,-0.6,--,22
2017年12月17日17時,0.0,-1.4,--,22
2017年12月17日18時,--,-1.6,--,21
2017年12月17日19時,--,-1.6,--,21
2017年12月17日20時,--,-1.7,--,20
2017年12月17日21時,--,-2.1,--,20
2017年12月17日22時,--,-1.9,--,20
2017年12月17日23時,--,-1.2,--,19
