date,Total precipitation(mm),Temperature(℃),Snowfall(cm),Snow accumulation(cm)
2017年12月14日9時,0.0,0.0,--,39
2017年12月14日10時,0.0,1.7,--,39
2017年12月14日11時,--,3.5,--,38
2017年12月14日12時,--,3.4,--,37
2017年12月14日13時,--,3.4,--,36
2017年12月14日14時,--,2.8,--,35
2017年12月14日15時,--,2.6,--,35
2017年12月14日16時,--,1.7,--,34
2017年12月14日17時,--,-0.3,--,34
2017年12月14日18時,--,-0.9,--,34
2017年12月14日19時,--,-0.6,--,33
2017年12月14日20時,--,-0.9,--,33
2017年12月14日21時,--,-1.4,--,33
2017年12月14日22時,--,-2.6,--,33
2017年12月14日23時,--,-2.2,--,33
