date,Total precipitation(mm),Temperature(℃),Snowfall(cm),Snow accumulation(cm)
2016年12月30日9時,0.0,-0.3,--,6
2016年12月30日10時,0.0,1.9,--,6
2016年12月30日11時,0.0,2.1,--,5
2016年12月30日12時,0.0,2.4,--,4
2016年12月30日13時,0.0,2.6,--,4
2016年12月30日14時,0.0,1.9,--,3
2016年12月30日15時,0.0,2.1,--,3
2016年12月30日16時,--,1.5,--,3
2016年12月30日17時,--,0.3,--,3
2016年12月30日18時,--,-0.6,--,3
2016年12月30日19時,--,0.9,--,3
2016年12月30日20時,0.0,0.8,--,3
2016年12月30日21時,0.0,0.7,--,3
2016年12月30日22時,--,0.0,--,3
2016年12月30日23時,--,-0.4,--,3
