date,Total precipitation(mm),Temperature(℃),Snowfall(cm),Snow accumulation(cm)
2017年1月28日9時,--,2.1,--,27
2017年1月28日10時,--,2.6,--,27
2017年1月28日11時,--,3.0,--,27
2017年1月28日12時,--,3.0,--,27
2017年1月28日13時,--,2.9,--,26
2017年1月28日14時,--,3.1,--,25
2017年1月28日15時,--,3.1,--,25
2017年1月28日16時,--,2.7,--,25
2017年1月28日17時,--,2.1,--,25
2017年1月28日18時,--,0.6,--,25
2017年1月28日19時,--,-0.4,--,25
2017年1月28日20時,--,-1.0,--,25
2017年1月28日21時,--,-2.1,--,25
2017年1月28日22時,--,-2.5,--,25
2017年1月28日23時,--,-3.4,--,24
