date,Total precipitation(mm),Temperature(℃),Snowfall(cm),Snow accumulation(cm)
2017年4月17日9時,--,13.6,--,--
2017年4月17日10時,--,16.0,--,--
2017年4月17日11時,--,16.5,--,--
2017年4月17日12時,--,18.8,--,--
2017年4月17日13時,--,22.0,--,--
2017年4月17日14時,--,22.2,--,--
2017年4月17日15時,--,19.9,--,--
2017年4月17日16時,--,18.2,--,--
2017年4月17日17時,--,16.2,--,--
2017年4月17日18時,--,15.3,--,--
2017年4月17日19時,0.0,14.6,--,--
2017年4月17日20時,0.0,13.9,--,--
2017年4月17日21時,0.0,13.2,--,--
2017年4月17日22時,0.0,13.4,--,--
2017年4月17日23時,0.0,14.4,--,--
