date,Total precipitation(mm),Temperature(℃),Snowfall(cm),Snow accumulation(cm)
2017年4月12日9時,0.5,8.6,--,--
2017年4月12日10時,0.0,8.6,--,--
2017年4月12日11時,0.0,8.1,--,--
2017年4月12日12時,0.0,7.7,--,--
2017年4月12日13時,0.0,7.8,--,--
2017年4月12日14時,0.0,8.6,--,--
2017年4月12日15時,--,9.0,--,--
2017年4月12日16時,--,8.4,--,--
2017年4月12日17時,--,7.7,--,--
2017年4月12日18時,0.0,6.2,--,--
2017年4月12日19時,--,6.3,--,--
2017年4月12日20時,--,5.1,--,--
2017年4月12日21時,--,3.4,--,--
2017年4月12日22時,--,3.9,--,--
2017年4月12日23時,--,3.1,--,--
