date,Total precipitation(mm),Temperature(℃),Snowfall(cm),Snow accumulation(cm)
2017年4月6日9時,--,11.2,--,--
2017年4月6日10時,--,13.9,--,--
2017年4月6日11時,--,18.8,--,--
2017年4月6日12時,--,20.9,--,--
2017年4月6日13時,--,21.9,--,--
2017年4月6日14時,--,20.7,--,--
2017年4月6日15時,--,20.6,--,--
2017年4月6日16時,--,19.4,--,--
2017年4月6日17時,--,18.8,--,--
2017年4月6日18時,0.0,16.5,--,--
2017年4月6日19時,0.0,14.3,--,--
2017年4月6日20時,0.5,12.6,--,--
2017年4月6日21時,0.0,11.5,--,--
2017年4月6日22時,0.0,11.1,--,--
2017年4月6日23時,0.5,11.1,--,--
